,영화명,평점
0,남산의 부장들,7.47
1,다만 악에서 구하소서,7.73
2,반도,5.63
3,히트맨,6.77
4,테넷,8.15
5,백두산,5.74
6,#살아있다,4.12
7,강철비2: 정상회담,4.98
8,담보,8.96
9,닥터 두리틀,6.64
10,삼진그룹 영어토익반,8.26
11,정직한 후보,7.73
12,도굴,7.25
13,클로젯,6.39
14,오케이 마담,6.29
15,해치지않아,6.22
16,천문: 하늘에 묻는다,0
17,결백,7.65
18,1917,8.90
19,작은 아씨들,8.82
20,미드웨이,8.80
21,시동,7.58
22,지푸라기라도 잡고 싶은 짐승들,0
23,미스터 주: 사라진 VIP,4.58
24,인비저블맨,7.55
25,나쁜 녀석들: 포에버,7.10
26,국제수사,4.66
27,침입자,0.00
28,스타워즈: 라이즈 오브 스카이워커,6.61
29,스파이 지니어스,9.22
30,이웃사촌,6.05
31,온워드: 단 하루의 기적,9.03
32,소리도 없이,5.92
33,버즈 오브 프레이(할리 퀸의 황홀한 해방),6.43
34,원더 우먼 1984,5.12
35,겨울왕국 2,8.70
36,오! 문희,8.04
37,그린랜드,6.72
38,위대한 쇼맨,0
39,런,8.19
40,뮬란,4.13
41,내가 죽던 날,8.00
42,기생충,0.00
43,신비아파트 극장판 하늘도깨비 대 요르문간드,8.55
44,프리즌 이스케이프,8.33
45,검객,7.91
46,조제,6.58
47,사라진 시간,4.30
48,밤쉘: 세상을 바꾼 폭탄선언,8.40
49,알라딘,9.38
50,인셉션,0.00
51,포드 V 페라리,9.48
52,트롤: 월드 투어,8.84
53,미스터트롯: 더 무비,8.83
54,타오르는 여인의 초상,9.04
55,나이브스 아웃,9.11
56,라라랜드,0
57,브레이크 더 사일런스: 더 무비,9.29
58,애니멀 크래커,0
59,다크 워터스,8.82
60,21 브릿지: 테러 셧다운,7.97
61,극장판 짱구는 못말려: 신혼여행 허리케인~ 사라진 아빠!,9.04
62,수퍼 소닉,8.35
63,언힌지드,6.17
64,조조 래빗,9.15
65,언더워터,7.09
66,디바,6.08
67,죽지않는 인간들의 밤,6.46
68,저 산 너머,8.22
69,기기괴괴 성형수,6.92
70,패왕별희 디 오리지널,0
71,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",9.45
72,극장판 포켓몬스터 뮤츠의 역습 EVOLUTION,8.13
73,주디,0.00
74,레이니 데이 인 뉴욕,0
75,나의 청춘은 너의 것,5.23
76,소리꾼,8.43
77,젠틀맨,8.44
78,에어로너츠,8.48
79,극장판 미니특공대: 공룡왕 디노,8.77
80,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,9.20
81,소년시절의 너,9.28
82,빅샤크3: 젤리몬스터 대소동,7.29
83,엽문4: 더 파이널,7.34
84,호텔 레이크,5.28
85,프린스 코기,7.26
86,눈의 여왕4,9.22
87,카페 벨에포크,8.41
88,더 플랫폼,7.13
89,뉴 뮤턴트,5.96
90,날씨의 아이,7.96
91,해리포터와 아즈카반의 죄수,0
92,극장판 미니특공대: 햄버거괴물의 습격,8.55
93,마이 스파이,7.64
94,더 프린세스 : 도둑맞은 공주,0
95,극장판 바이올렛 에버가든,9.51
96,나의 첫 번째 슈퍼스타,8.32
97,위플래쉬,0
98,프리키 데스데이,6.64
99,다크 나이트,0.00
100,아웃포스트,8.87
101,피아니스트의 전설,0
102,스케어리 스토리:어둠의 속삭임,5.64
103,파바로티,9.01
104,어벤져스: 엔드게임,9.38
105,노트북,0.00
106,아이즈 온 미 : 더 무비,9.33
107,다만 악에서 구하소서 파이널컷,7.73
108,애프터: 그 후,8.02
109,야구소녀,8.13
110,스타 이즈 본,0
111,반교: 디텐션,7.84
112,콜 오브 와일드,8.86
113,화양연화,0
114,서치 아웃,4.03
115,어바웃 타임,0
116,배트맨 비긴즈,0
117,오픈 더 도어,5.75
118,톰보이,0
119,페인 앤 글로리,8.38
120,매드 맥스: 분노의 도로,0
121,"하이, 젝시",6.74
122,부활: 그 증거,9.26
123,메멘토,0
124,다크 나이트 라이즈,0
125,캣츠,0.00
126,미스비헤이비어,9.05
127,찬실이는 복도 많지,8.78
128,그집,4.74
129,"어디갔어, 버나뎃",8.98
130,건즈 아킴보,6.48
131,파리의 인어,6.44
132,타발루가와 얼음공주,0
133,콜 미 바이 유어 네임,0
134,더 보이 2: 돌아온 브람스,4.72
135,극장판 바다 탐험대 옥토넛 : 대산호초 보호작전,8.98
136,폰조,6.08
137,블루 아워,6.25
138,킹덤 오브 헤븐: 디렉터스 컷,0
139,n번째 이별 중,0
140,더 프롬,7.30
141,마리 퀴리,7.71
142,울프 콜,8.47
143,오즈의 마법사: 요술구두와 말하는 책,6.00
144,캣츠토피아,0
145,에이바,4.67
146,비바리움,6.13
147,하이큐!! 땅 VS 하늘,8.51
148,테슬라,4.37
149,시네마 천국,0
150,애비규환,6.71
151,원 데이,0.00
152,극장판 원피스 스탬피드,8.77
153,아홉 스님,8.77
154,인베이젼 2020,4.68
155,"고흐, 영원의 문에서",0
156,남매의 여름밤,8.95
157,유령선,6.18
158,어벤져스: 인피니티 워,9.38
159,팬데믹,3.55
160,비밀정보원: 인 더 프리즌,7.56
161,BIFAN2020 판타스틱 단편 걸작선 1,0.00
162,울지마 톤즈 2 : 슈크란 바바,9.44
163,시원찮은 그녀를 위한 육성방법 피날레,7.81
164,프랑스여자,7.46
165,추억의 검정고무신,5.71
166,애프터 웨딩 인 뉴욕,8.24
167,너의 이름은.,0
168,비긴 어게인,0.00
169,강철비2 : 정상회담 확장판,0
170,택스 콜렉터,4.35
171,돌멩이,0.00
172,미녀와 야수,0
173,더 터닝,4.10
174,킹덤,0.00
175,킬러의 보디가드 무삭제 특별판,0
176,이 멋진 세계에 축복을! 붉은 전설,8.60
177,핑크퐁 시네마 콘서트 : 우주대탐험,8.81
178,사마에게,9.21
179,파티마의 기적,8.97
180,레미제라블,9.41
181,밥정,0
182,초미의 관심사,7.40
183,800,3.42
184,두 교황,9.33
185,마틴 에덴,8.64
186,극장판 요괴워치: 포에버 프렌즈,9.15
187,그랜드 부다페스트 호텔,0
188,해수의 아이,6.43
189,슈퍼 베어,6.79
190,극장판 엉덩이 탐정: 텐텐마을의 수수께끼,8.28
191,부활,9.26
192,드라이브,0.00
193,인터스텔라,0
194,작가 미상,0
195,러브레터,0.00
196,엔딩스 비기닝스,5.24
197,가나의 혼인잔치: 언약,9.41
198,슈퍼스타 뚜루,7.28
199,숀더쉽 더 무비: 꼬마 외계인 룰라!,9.26
200,언플랜드,9.28
201,사랑하고 있습니까,7.80
202,라라걸,9.42
203,러브 액츄얼리,0
204,킹 오브 프리즘 올 스타즈 -프리즘 쇼☆베스트10-,7.94
205,그레텔과 헨젤,3.36
206,바이올렛 에버가든 – 영원과 자동 수기 인형 -,9.21
207,세인트 아가타,0
208,나의 소녀시대,0
209,레미제라블: 뮤지컬 콘서트,9.41
210,레옹 디 오리지널,0
211,너는 달밤에 빛나고,8.39
212,아이 캔 온리 이매진,0
213,100% 울프: 푸들이 될 순 없어,9.05
214,라이프 오브 파이,0
215,마티아스와 막심,8.36
216,걸후드,0
217,시크릿 가든,7.63
218,덩케르크,3.50
219,슬럼독 밀리어네어,0
220,나이트 헌터,0
221,나는보리,0
222,싱 스트리트,0
223,워터 릴리스,0
224,어벤져스,0.00
225,목격자-눈이 없는 아이,0
226,라스트 풀 메저,8.65
227,리플레이,3.14
228,잔칫날,8.84
229,교실 안의 야크,9.40
230,스파이즈,7.91
231,루팡 3세: 더 퍼스트,8.43
232,"미안해요, 리키",9.24
233,너와 파도를 탈 수 있다면,8.60
234,"아무튼, 아담",8.16
235,뱅가드,3.49
236,전망좋은 방,0
237,도망친 여자,6.65
238,캐롤,0.00
239,테스와 보낸 여름,9.07
240,안티고네,0.00
241,소년 아메드,8.07
242,프란시스 하,0
243,69세,8.65
244,마이 리틀 포니: 레인보우 로드 트립,8.00
245,갱,0.00
246,카일라스 가는 길,0
247,딥워터,3.96
248,존 윅: 특별판,0
249,델마와 루이스,0
250,어벤져스: 에이지 오브 울트론,0
251,요가학원 : 죽음의 쿤달리니,4.90
252,슈퍼 레이스,0
253,로마의 휴일,0
254,페임,0
255,부니베어: 원시시대 대모험,6.46
256,씨 피버,5.77
257,죽이는 여자,1.00
258,세인트 주디,0
259,트로이 디렉터스 컷,0
260,지저귀는 새는 날지 않는다,8.26
261,하이큐!! 또 다른 도전,6.84
262,무협: 더 코드,0.00
263,레플리카,0.00
264,피아니스트의 마지막 인터뷰,8.72
265,작은 소망,7.71
266,할로윈: 살인마 잭,0
267,그링고,0
268,로건,0.00
269,이누야시키 : 히어로 VS 빌런,0
270,고스트 오브 워,7.06
271,BIAF2020 BIAF 클래식,0
272,더 렌탈 : 소리없는 감시자,4.92
273,트루먼 쇼,0
274,문신을 한 신부님,8.55
275,조커,8.66
276,맨슨 패밀리,5.20
277,종이꽃,9.02
278,엘라 벨라 빙고: 친구 찾기 대작전,6.00
279,썸머 85,8.34
280,신과 나: 100일간의 거래,0
281,기묘한 이야기: 리플레이,3.14
282,블러드: 궁금한 이야기,2.00
283,남과 여: 여전히 찬란한,8.70
284,미드나이트 스카이,6.94
285,로미오와 줄리엣,0.00
286,엣지 오브 투모로우,0
287,월드 워 Z,0
288,몽마르트 파파,9.47
289,지구 침공: 컨테이젼,5.27
290,바스켓볼 다이어리,0
291,아내를 죽였다,5.07
292,말할 수 없는 비밀,0.00
293,아디오스,0.00
294,분노의 질주: 더 익스트림,0
295,헌트,7.98
296,인비저블 라이프,8.93
297,사냥의 시간: 데스 게임,4.33
298,에릭 클랩튼: 기타의 신,0
299,그린 북,0
300,환상의 마로나,9.22
301,그리고 우린 춤을 추었다,8.21
302,알리타: 배틀 엔젤,0
303,"조금씩, 천천히 안녕",8.67
304,렛 힘 고,7.04
305,루키스,3.75
306,티파니에서 아침을,0
307,미션,7.18
308,차일드 인 타임,0
309,나이스 걸 라이크 유,6.34
310,언어의 정원,0
311,윤희에게,8.97
312,신의 은총으로,8.81
313,마르지엘라,9.13
314,데드풀,0
315,부력,8.70
316,온다,0.00
317,불량한 가족,8.14
318,1942: 언노운 배틀,8.24
319,나이팅게일,0.00
320,마션,0
321,극장판 시로바코,8.55
322,에이브의 쿠킹 다이어리,0
323,공포분자,0
324,젊은이의 양지,7.96
325,사랑이 뭘까,0
326,동감,0
327,후쿠오카,6.63
328,비독: 파리의 황제,0
329,엠마,7.76
330,이장,8.36
331,"내 어깨 위 고양이, 밥 2",9.45
332,에브리타임 아이 다이,4.93
333,트랜짓,0.00
334,졸업,0.00
335,걸즈 앤 판처 최종장,8.68
336,쉰들러 리스트,0
337,존 윅,7.99
338,지니어스 독,7.07
339,리벤지,10.00
340,불한당: 나쁜 놈들의 세상,0
341,슈팅걸스,5.76
342,봉쇄수도원 카르투시오,9.39
343,트롤 킹,0
344,팔로우 미,6.45
345,살인의 추억,0
346,"나는 내일, 어제의 너와 만난다",0
347,페뷸러스,7.43
348,신세계,0.00
349,에베레스트,0.00
350,아무도 없다,5.63
351,트라이얼 오브 더 시카고 7,8.63
352,결혼 이야기,9.02
353,걸즈 앤 판처 최종장 제1화,0
354,담쟁이,8.02
355,고 피쉬!,5.79
356,베이비티스,8.06
357,셔터 아일랜드,0
358,겨울왕국,8.70
359,부다페스트 스토리,7.61
360,안녕까지 30분,8.76
361,다시 만난 날들,9.35
362,프록시마 프로젝트,7.61
363,비커밍 제인,0
364,하워즈 엔드,0
365,아비정전,0
366,해피 디 데이,0
367,와일드 시티,7.51
368,레미: 집 없는 아이,0
369,부산행:익스텐디드,0
370,매지컬: 공주를 웃겨라,5.93
371,미드나잇 인 파리,0
372,맹크,7.17
373,아이리시맨,8.73
374,로그,9.69
375,증발,9.44
376,퍼스트 러브,5.00
377,나미야 잡화점의 기적,0
378,럭키 몬스터,6.65
379,들리나요?,9.15
380,봄날은 간다,0
381,웨이크필드 프로젝트,0.00
382,"그 시절, 우리가 좋아했던 소녀",0
383,원스 어폰 어 타임... 인 할리우드,7.71
384,신문기자,8.02
385,극장판 기븐,9.29
386,주식회사 스페셜액터스,7.95
387,보테로,0
388,용길이네 곱창집,0
389,조디악,5.33
390,카오산 탱고,6.92
391,와일드라이프,0.00
392,빌리 엘리어트,0
393,힐빌리의 노래,8.85
394,어서오시게스트하우스,8.28
395,카메론 포스트의 잘못된 교육,0
396,지옥의 묵시록 파이널 컷,0
397,썸원 썸웨어,8.59
398,헌티드 파크,4.39
399,마샤와 곰: 최고 중에 최고,4.13
400,베스트 오퍼,0
401,운디네,8.21
402,오퍼나지: 비밀의계단,0
403,호프,0.00
404,카잔자키스,0
405,산티아고의 흰 지팡이,8.00
406,인헤리턴스,4.98
407,비행,0.00
408,엑설런트 어드벤쳐 3,5.62
409,레볼루셔너리 로드,0
410,"베를린, 아이 러브 유",0
411,시라이,4.14
412,원스,0.00
413,모리의 정원,0
