,영화명,평점
0,명량,8.44
1,겨울왕국,9.13
2,인터스텔라,9.11
3,해적: 바다로 간 산적,8.28
4,수상한 그녀,9.01
5,변호인,9.0
6,국제시장,9.02
7,트랜스포머: 사라진 시대,6.58
8,군도: 민란의 시대,6.94
9,엣지 오브 투모로우,8.96
10,엑스맨: 데이즈 오브 퓨처 패스트,8.89
11,어메이징 스파이더맨 2,7.77
12,타짜-신의 손,7.25
13,혹성탈출: 반격의 서막,8.54
14,캡틴 아메리카: 윈터 솔져,8.93
15,역린,7.09
16,"님아, 그 강을 건너지 마오",9.24
17,신의 한 수,8.02
18,끝까지 간다,8.83
19,비긴 어게인,10.0
20,드래곤 길들이기 2,8.92
21,표적,7.47
22,메이즈 러너,8.3
23,호빗: 다섯 군대 전투,8.5
24,나의 사랑 나의 신부,7.96
25,논스톱,8.61
26,인투 더 스톰,8.23
27,노아,6.06
28,남자가 사랑할 때,0.0
29,루시,7.13
30,용의자,8.04
31,기술자들,7.09
32,나를 찾아줘,8.31
33,제보자,8.33
34,피끓는 청춘,7.64
35,두근두근 내 인생,7.09
36,우아한 거짓말,8.41
37,300: 제국의 부활,7.17
38,엑소더스: 신들과 왕들,7.09
39,해무(海霧),6.82
40,인간중독,6.72
41,말레피센트,8.25
42,폼페이: 최후의 날,7.45
43,퓨리,8.7
44,드라큘라: 전설의 시작,8.05
45,가디언즈 오브 갤럭시,8.57
46,찌라시: 위험한 소문,7.52
47,빅매치,6.65
48,슬로우 비디오,7.77
49,방황하는 칼날,7.74
50,로보캅,8.01
51,우리는 형제입니다,7.2
52,애나벨,6.86
53,헝거게임: 모킹제이,7.54
54,월터의 상상은 현실이 된다,8.75
55,카트,8.63
56,관능의 법칙,7.66
57,그랜드 부다페스트 호텔,8.39
58,리오 2,8.3
59,"안녕, 헤이즐",8.63
60,고질라,6.68
61,트랜센던스,7.98
62,상의원,7.85
63,플랜맨,8.2
64,우는 남자,6.0
65,타잔 3D,7.6
66,패션왕,5.29
67,황제를 위하여,6.03
68,더 울프 오브 월스트리트,8.08
69,스텝 업: 올 인,8.01
70,어바웃 타임,9.2
71,몬스터,8.1
72,눈의 여왕 2: 트롤의 마법거울,7.66
73,노예 12년,8.59
74,또 하나의 약속,9.26
75,엔더스 게임,7.18
76,소녀괴담,5.48
77,조선미녀삼총사,4.03
78,넛잡: 땅콩 도둑들,6.71
79,마담 뺑덕,6.63
80,썬더와 마법저택,8.8
81,신이 보낸 사람,8.08
82,다이버전트,7.8
83,주온 : 끝의 시작,6.33
84,좋은 친구들,7.81
85,닌자터틀,7.72
86,명탐정 코난 : 이차원의 저격수,8.71
87,나의 독재자,7.43
88,천재 강아지 미스터 피바디,8.39
89,그녀,9.01
90,하이힐,7.79
91,선 오브 갓,7.97
92,잭 라이언 : 코드네임 쉐도우,7.39
93,"극장판 포켓몬스터 베스트위시: 신의 속도 게노세크트, 뮤츠의 각성",8.96
94,숲속으로,4.95
95,레드카펫,0.0
96,미녀와 야수,7.72
97,비행기 2: 소방구조대,7.94
98,프랑켄슈타인: 불멸의 영웅,6.21
99,"러브, 로지",7.64
100,오큘러스,7.43
101,사랑에 대한 모든 것,7.96
102,마야,8.31
103,노벰버 맨,7.48
104,툼스톤,7.57
105,창문 넘어 도망친 100세 노인,7.84
106,그레이스 오브 모나코,8.05
107,레고 무비,8.46
108,뽀로로 극장판 눈요정 마을 대모험,7.17
109,쓰리데이즈 투 킬,7.37
110,저스틴,0.0
111,극장판 루팡 3세 VS 명탐정 코난,8.8
112,한공주,8.81
113,헤라클레스 : 레전드 비긴즈,6.32
114,"극장판 파워레인저 다이노포스VS고버스터즈 공룡 대결전! ~안녕, 영원한 친구여!~",8.46
115,덕수리 5형제,6.95
116,덤 앤 더머 투,6.76
117,론 서바이버,9.04
118,컬러풀 웨딩즈,8.28
119,보이후드,8.75
120,일곱난쟁이,7.85
121,명탐정 코난 : 탐정들의 진혼가,0.0
122,하울의 움직이는 성,0.0
123,라스트베가스,8.65
124,아빠를 빌려드립니다,7.85
125,극장판 도라에몽: 진구의 아프리카 모험 ~베코와 5인의 탐험대~,8.56
126,호빗: 스마우그의 폐허,8.49
127,아메리칸 허슬,10.0
