	title	title_Eng	year	country	type	genre	status	director	company
1916	김비서는 정말 왜 그럴까? - 무삭제판		2020	한국	장편	멜로/로맨스	개봉	김종석	컨텐츠레드
1917	D컵여자친구-무삭제		2020	한국	장편	멜로/로맨스	개봉	이정석	스마일컨텐츠
1918	후궁 : 제왕의 첩	The Concubine	2012	한국	장편	사극,멜로/로맨스	개봉	김대승	(주)황기성 사단
1919	애비규환	MORE THAN FAMILY	2020	한국	장편	드라마,코미디	개봉	최하나	(주)아토,(주)모토
1920	테우리	Teuri	2019	한국	장편	드라마	개봉	이난	(주)26컴퍼니
1921	여름날	Days in a Summer	2019	한국	장편	드라마	개봉	오정석	오전필름
1922	앵커	Anchor	2018	한국	장편	드라마	개봉	최정민	씨네마캣 픽쳐스
1923	나이브스 아웃	KNIVES OUT	2018	미국	장편	미스터리,스릴러	개봉	라이언 존슨	
1924	쾌락마사지:낯선 남자들의 손기술		2019	일본	장편	멜로/로맨스,드라마	개봉	빈센트 갸루	
1925	젊은형수:한 번 해볼래?		2019	일본	장편	멜로/로맨스,드라마	개봉	버드맨 텟페이	
1926	다 해주는 친구엄마		2019	일본	장편	멜로/로맨스,드라마	개봉	아카바네 류지	
1927	내 아내의 스캔들		2019	일본	장편	멜로/로맨스,드라마	개봉	나카지마 타로	
1928	O형수박가슴가정부		2020	한국	장편	멜로/로맨스	개봉	판	스마일컨텐츠
1929	미세스 잘주리 미스 안주리		2020	한국	장편	멜로/로맨스	개봉	김종석	모히또필름
1930	블러드하운드	Bloodhound	2020	미국	장편	미스터리,스릴러	개봉	제이슨 R. 밀러	
1931	마라가 큰 결정을 해야 해	The Wedding Year	2019	미국	장편	멜로/로맨스,코미디	개봉	로버트 루케틱	
1932	섹귀 : 섹스에 미친 귀신들		2020	한국	장편	드라마,성인물(에로)	개봉	한동호	주식회사 플릭스코
1933	가슴큰친구누나들-무삭제		2020	한국	장편	멜로/로맨스	개봉	이정석	스마일컨텐츠
1934	인플루언서	Influnencer	2020	한국	장편	다큐멘터리	개봉	오영근	(주)인터오리진아이엔씨
1935	삼진그룹 영어토익반	SAMJIN COMPANY ENGLISH CLASS	2020	한국	장편	드라마	개봉	이종필	더램프(주)
1936	언더독	Underdog	2018	한국	장편	애니메이션	개봉	오성윤,이춘백	(주)오돌또기
1937	우리 안의 그들	Their who inside of us	2020	한국	장편	기타	개봉	김태진,송원준,이진영	주식회사 씨엠닉스
1938	빅풋 주니어2: 패밀리가 떴다	Bigfoot Family	2020	기타	장편	애니메이션	개봉	벤 스타센,제레미 드그루손	
1939	반지의 제왕 : 왕의 귀환 (확장판)	The Lord of the Rings: The Return of the King	2003	뉴질랜드,미국	장편	판타지,어드벤처,액션	개봉	피터 잭슨	
1940	반지의 제왕 : 두개의 탑 (확장판)	The Lord Of The Rings : The Two Towers	2002	뉴질랜드,미국	장편	판타지,어드벤처,액션	개봉	피터 잭슨	
1941	반지의 제왕 : 반지원정대 (확장판)	The Lord Of The Rings : The Fellowship Of The Rings	2001	뉴질랜드,미국	장편	판타지,어드벤처,액션	개봉	피터 잭슨	
1942	음탕한 유부녀의 밀회		2019	일본	장편	멜로/로맨스,드라마	개봉	사노 B사쿠	
1943	음란한 유부녀들:남편친구와 정사		2019	일본	장편	멜로/로맨스,드라마	개봉	나카지마 타로	
1944	바람난 아내:남편상사와 아찔한 섹스		2019	일본	장편	멜로/로맨스,드라마	개봉	버드맨 텟페이	
1945	그녀의 은밀한 아르바이트		2019	일본	장편	멜로/로맨스,드라마	개봉	버드맨 텟페이	
1946	도망친 여자	The Woman Who Ran	2019	한국	장편	드라마	개봉	홍상수	(주)영화제작전원사
1947	에듀케이션	The Education	2019	한국	장편	드라마	개봉	김덕중	(주)타이거시네마,DGC
1948	베드(감독판)	B·E·D	2012	한국	장편	멜로/로맨스,드라마	개봉	박철수	씨네힐
1949	러브라인		2020	한국	장편	기타	개봉	오두경,김성훈,권아영,정다이	주식회사 씨엠닉스
1950	네 번째 엄마		2020	한국	장편	성인물(에로)	개봉	윤경식	(주)픽쳐레스크
1951	며느리 : 탐스러운 육체		2020	한국	장편	멜로/로맨스,드라마	개봉	조태호	(주)영화사가을
1952	스와핑 : 자매의 남자들 무삭제		2020	한국	장편	성인물(에로)	개봉	이대길	뷰소프트
1953	거짓말 : 친구엄마 무삭제		2020	한국	장편	성인물(에로)	개봉	이대길	뷰소프트
1954	애첩		2020	한국	장편	성인물(에로)	개봉	리차드 킴	(주)룬컴퍼니
1955	신입 여사원		2020	한국	장편	성인물(에로),드라마	개봉	한동호	주식회사 플릭스코
1956	더러운아내 무삭제판		2019	한국	장편	드라마,멜로/로맨스	개봉	최정자	(주)가온콘텐츠
1957	형의 여자를 탐하다 무삭제		2019	한국	장편	멜로/로맨스	개봉	김환	(주)영화사가을
1958	충격 실제정사		2020	한국	장편	멜로/로맨스	개봉	최진철	라임필름
1959	착한 유부녀들		2020	한국	장편	성인물(에로)	개봉	조태호	(주)영화사가을
1960	애인공유		2020	한국	장편	성인물(에로)	개봉	리차드 킴	(주)룬컴퍼니
1961	섹스 소녀 10		2020	한국	장편	멜로/로맨스	개봉	최진철	라임필름
1962	출장 마사지 : 흥분한 여자들 2 무삭제		2019	한국	장편	멜로/로맨스	개봉	김진우	(주)영화사가을
1963	스와핑 : 선배의 아내 무삭제		2019	한국	장편	멜로/로맨스	개봉	한대위	(주)영화사가을
1964	내 아내의 엄마 2 무삭제		2020	한국	장편	멜로/로맨스	개봉	최찬호	(주)영화사가을
1965	나쁜 처제 2 무삭제		2020	한국	장편	멜로/로맨스	개봉	김진우	(주)영화사가을
1966	정사 : 타인의 아내		2020	한국	장편	성인물(에로)	개봉	조태호	(주)영화사가을
1967	여자 동창들 : 친구 오빠와 섹스한 날 무삭제		2020	한국	장편	멜로/로맨스	개봉	최민현	(주)영화사가을
1968	엄마친구 2020 무삭제		2019	한국	장편	멜로/로맨스	개봉	김환	(주)영화사가을
1969	애인의 가슴 큰 친구		2020	한국	장편	성인물(에로)	개봉	정미나	(주)담화
1970	관계 : 특별한 형수 2 무삭제		2020	한국	장편	멜로/로맨스	개봉	김진우	(주)영화사가을
1971	섹스 소녀 8		2020	한국	장편	멜로/로맨스	개봉	최진철	라임필름
1972	모델 박아라 감독판		2020	한국	장편	성인물(에로)	개봉	이상수	선셋 시네마
1973	계부의 욕정	Haitoku no chigiri gifu to Nidzuma	2020	일본	장편	드라마,멜로/로맨스	개봉	사다오카 사다오	
1974	스와핑, 그 위험한 섹스		2020	한국	장편	성인물(에로)	개봉	윤경식	(주)픽쳐레스크
1975	섹스 소녀 9		2020	한국	장편	멜로/로맨스	개봉	최진철	라임필름
1976	불륜 동창회 3		2020	한국	장편	성인물(에로)	개봉	조태호	(주)영화사가을
1977	불륜여행 : 여친의 언니		2020	한국	장편	성인물(에로)	개봉	이대길	뷰소프트
1978	며느리 : 잘못된 관계		2020	한국	장편	멜로/로맨스	개봉	최찬호	(주)영화사가을
1979	천년여우 구미호		2020	한국	장편	멜로/로맨스,판타지	개봉	최환	(주)케이알씨지
1980	두 번째 엄마-불륜정사		2020	한국	장편	멜로/로맨스	개봉	최환	(주)케이알씨지
1981	빚투: 부부교환 무삭제		2020	한국	장편	성인물(에로)	개봉	정미나	
1982	육덕녀의 황홀한 서비스		2020	일본	장편	성인물(에로)	개봉	핫시이	
1983	대학선배에게 뺏긴 약혼녀		2020	일본	장편	성인물(에로)	개봉	핫시이	
1984	노리개가 된 젊은 사모님	A Bad Daydream	2020	일본	장편	드라마	개봉	다테 류지	
1985	나만의 판타지 섹스2		2020	일본	장편	성인물(에로)	개봉	타케다 케이시	
1986	나만의 판타지 섹스		2020	일본	장편	성인물(에로)	개봉	타케다 케이시	
1987	죽고 싶은 인간들의 밤	Dead by dawn	2020	미국	장편	공포(호러)	개봉	숀 케인	
1988	스페셜 솔져	Search and Destroy	2020	폴란드	장편	액션	개봉	대니 레너	
1989	돈 스피크	Don't Speak	2020	미국	장편	공포(호러)	개봉	스콧 제프리	
1990	기색충 - 무삭제판		2020	한국	장편	멜로/로맨스	개봉	김종석	모히또필름
1991	구멍 교환 - 무삭제판		2020	한국	장편	멜로/로맨스	개봉	김종석	너바나 필름
1992	욕구불만 아내의 사생활		2019	일본	장편	멜로/로맨스,드라마	개봉	사노 B사쿠	
1993	와이프 렌탈 서비스 무삭제판		2019	일본	장편	멜로/로맨스,드라마	개봉	사이유키	
1994	숙모의 망사팬티 무삭제판		2019	일본	장편	멜로/로맨스,드라마	개봉	와카마츠 쇼군	
1995	발정난 미망인의 유혹		2019	일본	장편	멜로/로맨스,드라마	개봉	나카지마 타로	
1996	음란한 안드로이드		2019	일본	장편	멜로/로맨스,드라마	개봉	코메이	
1997	모녀들의 은밀한 유혹		2019	일본	장편	멜로/로맨스,드라마	개봉	히이라기 엔부	
1998	리얼돌:부드럽게 다뤄줘요		2019	일본	장편	멜로/로맨스,드라마	개봉	코이케.Jp	
1999	막장자매 클라쓰		2020	한국	장편	성인물(에로),드라마	개봉	한길수	주식회사 플릭스코
2000	클라운 돌	Clown Doll	2019	미국	장편	공포(호러)	개봉	스콧 제프리	
2001	언플랜드	Unplanned	2019	미국	장편	드라마	개봉	척 콘젤만,캐리 솔로몬	
2002	신과함께-인과 연	Along with the Gods: The Last 49 Days	2017	한국	장편	판타지,드라마	개봉	김용화	리얼라이즈픽쳐스(주),(주)덱스터스튜디오
2003	신과함께-죄와 벌	Along with the Gods: The Two Worlds	2017	한국	장편	판타지,드라마	개봉	김용화	리얼라이즈픽쳐스(주),(주)덱스터스튜디오
2004	전쟁	Disturbing the Peace	2020	미국	장편	액션,어드벤처,스릴러	개봉	요크 샤클톤	
2005	뱅가드	Vanguard	2020	중국	장편	액션	개봉	당계례	
2006	어린과부 무삭제		2020	한국	장편	멜로/로맨스	개봉	한동호	제뉴어리이공 현프로
2007	봉쇄수도원 카르투시오	The Carthusian Cloistered Monastery	2020	한국	장편	다큐멘터리	개봉	김동일	KBS,커넥트픽쳐스(주),피엠픽쳐스
2008	추억의 검정고무신	The Precious memory of Gogo Brothers	2020	한국	장편	애니메이션	개봉	송정율	(주)대교 미디어콘텐츠사업본부
2009	먹어주는 유부녀 무삭제판		2020	한국	장편	멜로/로맨스,드라마	개봉	윤준세	(주)영진크리에이티브
2010	소리도 없이	Voice of Silence	2020	한국	장편	범죄,드라마	개봉	홍의정	(주)루이스 픽쳐스,(주)브로콜리픽쳐스
2011	사자	The Divine Fury	2018	한국	장편	미스터리,액션,판타지,공포(호러)	개봉	김주환	(주)키이스트
2012	썸머 85	Summer of 85	2020	기타	장편	멜로/로맨스,드라마	개봉	프랑수아 오종	
2013	굿바이	Departures	2008	일본	장편	드라마	개봉	타키타 요지로	
2014	B형물많고화끈한처제		2020	한국	장편	멜로/로맨스	개봉	판	스마일컨텐츠
2015	라라랜드	LA LA LAND	2016	미국	장편	드라마,뮤지컬,멜로/로맨스	개봉	데이미언 셔젤	
2016	운디네	Undine	2020	독일	장편	드라마,멜로/로맨스	개봉	크리스티안 펫졸드	
2017	혼전순결:아래보단 입으로		2019	일본	장편	멜로/로맨스,드라마	개봉	아카바네 류지	
2018	하마사키 마오의 은밀한 투잡		2019	일본	장편	멜로/로맨스,드라마	개봉	호소카와 켄	
2019	처제가 왜 거기서 나와?		2020	한국	장편	멜로/로맨스	개봉	김종석	컨텐츠레드
2020	남편 몰래 당하는 거유 유부녀		2019	일본	장편	멜로/로맨스,드라마	개봉	히이라기 엔부	
2021	귀여운 옆집여자의 유혹		2019	일본	장편	멜로/로맨스,드라마	개봉	야만카 소쿠스	
2022	남산의 부장들	The Man Standing Next	2019	한국	장편	드라마	개봉	우민호	(주)하이브미디어코프
2023	오늘, 우리	Today, Together	2019	한국	옴니버스	드라마	개봉	조은지,부은주,송예진,곽은미,조은지	
2024	장마	The Rainy Season	2019	한국	장편	다큐멘터리	개봉	이용남,음정현	영화사 무명
2025	작은 빛	Tiny Light	2018	한국	장편	드라마,가족	개봉	조민재	영화사 낭
2026	장사리 : 잊혀진 영웅들	Battle of Jangsari	2019	한국	장편	전쟁	개봉	곽경택,김태훈	(주)태원엔터테인먼트
2027	이장	Move the Grave	2019	한국	장편	드라마,가족,코미디,판타지	개봉	정승오	㈜인디스토리
2028	재혼의 기술	Remarriage Skills	2019	한국	장편	멜로/로맨스,코미디	개봉	조성규	하준사
2029	저 산 너머	BEYOND THE MOUNTAIN	2019	한국	장편	드라마	개봉	최종태	리온픽쳐스(주)
2030	은지: 돌이킬 수 없는 그녀	Eun Ji	2019	한국	장편	미스터리,스릴러	개봉	구모	(주)더킹이엔티
2031	유령선	Ghost Ship	2019	한국	장편	다큐멘터리	개봉	김지영	(주)왝더독
2032	정직한 후보	HONEST CANDIDATE	2019	한국	장편	코미디	개봉	장유정	(주)수필름,(주)홍필름
2033	우키시마호	Ukishima Maru Survivor	2019	한국	장편	다큐멘터리	개봉	김진홍	(주)영화사메이플러스
2034	오만	Huris	2019	한국	장편	드라마	개봉	지일주	(주)백그림
2035	영화로운 나날	Film Adventure	2019	한국	장편	멜로/로맨스,드라마,판타지	개봉	이상덕	콧수염필름즈
2036	양자물리학	By Quantum Physics: A Nightlife Venture	2019	한국	장편	범죄	개봉	이성태	(주)엠씨엠씨
2037	야구소녀	Baseball Girl	2019	한국	장편	드라마	개봉	최윤태	한국영화아카데미
2038	애월	Moonfishing in Aewol	2019	한국	장편	멜로/로맨스,드라마	개봉	박철우	(주)흑기사
2039	악몽	The Nightmare	2018	한국	장편	미스터리,공포(호러),스릴러	개봉	송정우	(주)에이치에스이디
2040	제인의 썸머	JANE'S SUMMER	2020	한국	장편	멜로/로맨스	개봉	송은주	(주)키다리이엔티
2041	아홉 스님		2020	한국	장편	드라마	개봉	윤성준	(주)퍼스트런,우주레이블
2042	아직 지나지 않은 여름	Still Summer	2017	한국	장편	드라마	개봉	윤형철	
2043	아이즈 온 미 : 더 무비	EYES ON ME : THE MOVIE	2019	한국	장편	공연	개봉	박재석	씨제이포디플렉스 주식회사
2044	좀비파이터	Zombie Fighter	2019	한국	장편	공포(호러),액션,드라마,가족	개봉	임지환	스토리웨이브픽쳐스
2045	아워 바디	Our Body	2018	한국	장편	드라마	개봉	한가람	한국영화아카데미
2046	좋은 여자	Wonderful Woman	2019	한국	장편	드라마	개봉	전규환	(주)트리필름
2047	죽도 서핑 다이어리	Jukdo Surfing Diary	2019	한국	장편	드라마	개봉	이현승	스튜디오블루(주)
2048	시호		2019	한국	장편	멜로/로맨스	개봉	홍수동	영화사청춘 주식회사
2049	지푸라기라도 잡고 싶은 짐승들	BEASTS CLAWING AT STRAWS	2018	한국	장편	스릴러,범죄	개봉	김용훈	(주)비에이엔터테인먼트
2050	슈팅걸스	Shooting Girls	2019	한국	장편	드라마,가족	개봉	배효민	새바엔터테인먼트,(주)아이언 스튜디오
2051	수퍼 디스코	Super Disco	2018	한국	장편	다큐멘터리	개봉	이주호	명필름랩
2052	찬실이는 복도 많지	Lucky Chan-sil	2019	한국	장편	드라마,멜로/로맨스,판타지	개봉	김초희	(주)지이프로덕션,(주)사이드미러
2053	센베노,평창		2018	한국	장편	다큐멘터리	개봉	곽동철	더슛미디어
2054	성혜의 나라	The Land of Seonghye	2018	한국	장편	드라마	개봉	정형석	닷 팩토리
2055	창은		2018	한국	장편	드라마	개봉	윤지혜	리슨픽처스
2056	천문: 하늘에 묻는다	Forbidden Dream	2019	한국	장편	사극	개봉	허진호	(주)하이브미디어코프
2057	설화	Snow Blossoms	2019	한국	장편	스릴러	개봉	최형렬	(주)유비네트워크
2058	침입자	Intruder	2019	한국	장편	미스터리,스릴러	개봉	손원평	(주)비에이엔터테인먼트
2059	클로젯	The Closet	2018	한국	장편	미스터리,드라마	개봉	김광빈	(주)영화사 월광,(주)퍼펙트스톰필름
2060	서치 아웃	Search Out	2019	한국	장편	스릴러	개봉	곽정	(주)디엔와이
2061	수상한 이웃	Rainbow Playground	2019	한국	장편	코미디	개봉	이상훈	(주)오예스
2062	삽질	Rivercide: The Secret Six	2018	한국	장편	다큐멘터리	개봉	김병기	ohmynews
2063	산티아고의 흰 지팡이	Buen Camino	2019	한국	장편	다큐멘터리	개봉	이종은	제이리미디어
2064	사선의 끝	The Threshold of Death	2019	한국	장편	드라마	개봉	이은상	(주)엠씨엠씨
2065	여수 밤바다	The Night View of the Ocean in Yeosu	2017	한국	장편	코미디,드라마	개봉	정형석	닷 팩토리
2066	열두 번째 용의자	The 12th Suspect	2019	한국	장편	미스터리,스릴러	개봉	고명성	(주)영화사진,엠앤씨에프
2067	탈출		2019	한국	장편	드라마	개봉	이숭환	(주)케이알씨지
2068	오늘도 위위	The Journey of the 12 Cats	2018	한국	장편	드라마	개봉	박범준	(주)코쿤나인
2069	파도를 걷는 소년	The Boy From Nowhere	2019	한국	장편	드라마	개봉	최창환	(주)컬쳐플랫폼
2070	비행	Dreamer	2018	한국	장편	드라마,범죄	개봉	조성빈	㈜ 써드아이비디오
2071	우리 누나 친구 무삭제		2019	한국	장편	멜로/로맨스	개봉	김부곤	(주)영화사가을
2072	졸업	Graduation	2018	한국	장편	다큐멘터리	개봉	박주환	미디어나무
2073	북간도의 십자가		2019	한국	장편	다큐멘터리	개봉	반태경	(재)CBS
2074	핑크퐁 시네마 콘서트 : 우주대탐험		2019	한국	장편	애니메이션	개봉	변희선	스마트스터디(주)
2075	퍼펙트맨	Man of Men	2019	한국	장편	코미디,드라마	개봉	용수	(주)맨필름,(주)쇼박스
2076	바람의 언덕	The Hill of Wind	2019	한국	장편	드라마	개봉	박석영	영화사 삼순
2077	판소리 복서	My Punch-Drunk Boxer	2019	한국	장편	코미디,드라마	개봉	정혁기	(주)바른손
2078	바다로 가자	Forbidden Fatherland	2018	한국	장편	가족,다큐멘터리,전쟁	개봉	김량	ZONE Film
2079	하트	HEART	2019	한국	장편	드라마,멜로/로맨스	개봉	정가영	비치사
2080	바꿔 할래? 무삭제		2019	한국	장편	멜로/로맨스	개봉	한대위	(주)영화사가을
2081	해치지않아	SECRET ZOO	2019	한국	장편	코미디	개봉	손재곤	(주)디씨지플러스,(주)어바웃잇
2082	폐교		2018	한국	장편	공포(호러),미스터리	개봉	최효원	(주)유비네트워크
2083	82년생 김지영	KIM JI-YOUNG, BORN 1982 	2019	한국	장편	드라마	개봉	김도영	(주)봄바람영화사
2084	몽마르트 파파	Montmartre de Papa	2019	한국	장편	다큐멘터리	개봉	민병우	웃음을 주는 영화,(주)해밀픽쳐스
2085	며느리의 남자 무삭제		2019	한국	장편	멜로/로맨스	개봉	김환	(주)영화사가을
2086	행동하는 양심 김대중	President	2019	한국	장편	다큐멘터리	개봉	신상민	명량문화재단
2087	힘을 내요, 미스터 리	CHEER UP, MR. LEE	2019	한국	장편	코미디,드라마	개봉	이계벽	(주)용필름,(주)덱스터스튜디오
2088	호텔 레이크		2020	한국	장편	공포(호러)	개봉	윤은경	(주)이에스픽쳐스,㈜인디스토리
2089	마왕의 딸 이리샤	Ireesha, The Daughter of Elf-king	2018	한국	장편	애니메이션	개봉	장형윤	한국영화아카데미,(주)지금이 아니면 안돼
2090	호흡	Clean Up	2018	한국	장편	드라마	개봉	권만기	한국영화아카데미
2091	혼 : 공포의 시작		2019	한국	장편	공포(호러)	개봉	유성호	영화사 딴판
2092	히트맨	HITMAN: AGENT JUN	2019	한국	장편	코미디,액션	개봉	최원섭	베리굿스튜디오(주)
2093	라스트 씬	Last Scene	2018	한국	장편	다큐멘터리	개봉	박배일	오지필름
2094	들리나요?		2020	한국	장편	다큐멘터리	개봉	김봉한,신승환	(주)영화사장춘
2095	동물, 원	Garden, Zoological	2018	한국	장편	다큐멘터리	개봉	왕민철	케프-ㄹ러49
2096	대전 블루스	Last Blues, Last Dance	2019	한국	장편	드라마	개봉	박철웅	스토리텔러,알리스필름,붐필름,송영철 공작소
2097	니나 내나	Family Affair	2019	한국	장편	드라마	개봉	이동은	(주)명필름,로랜드스튜디오
2098	녹차의 중력	Gravity of the Tea	2018	한국	장편	다큐멘터리	개봉	정성일	영화사 키노(주)
2099	꼴통 2인조		2020	한국	장편	액션	개봉	박준식	(주)스토리풀,(주)컨텐츠 빌리지
2100	김일성의 아이들	KIM IL SUNG's Children	2020	한국	장편	다큐멘터리,전쟁	개봉	김덕영	다큐스토리
2101	기억할 만한 지나침	Ephemerals to Remember	2018	한국	장편	드라마	개봉	박영임	순리필름
2102	극장판 헬로카봇 : 달나라를 구해줘!	Hello Carbot the Movie: Save the Moon	2019	한국	장편	애니메이션	개봉	최신규,김진철	(주)초이락컨텐츠팩토리
2103	극장판 타오르지마 버스터-블랙어썰트의 귀환	The Return of Dark Assault	2019	한국	장편	코미디,애니메이션,액션,어드벤처	개봉	조영광	(주)시너지미디어
2104	극장판 미니특공대: 공룡왕 디노	Miniforce: Dino King	2019	한국	장편	애니메이션	개봉	이영준	(주)삼지애니메이션
2105	그녀의 비밀정원	Invitation	2019	한국	장편	드라마,멜로/로맨스	개봉	김인식	(주)인디컴미디어
2106	국도극장	Somewhere in Between	2020	한국	장편	드라마	개봉	전지희	명필름랩
2107	공수도	Justice High	2019	한국	장편	액션,코미디	개봉	채여준	(주)그노스,꿀잼컴퍼니(주)
2108	고양이 집사	Our Cat	2019	한국	장편	다큐멘터리	개봉	이희섭	엠앤씨에프
2109	계절과 계절 사이	Between the Seasons	2018	한국	장편	드라마,멜로/로맨스	개봉	김준식	한국영상대학교,감성스토리
2110	결백	Innocence	2019	한국	장편	드라마	개봉	박상현	(주)이디오플랜
2111	갈까부다	Wish You Were Here	2018	한국	장편	다큐멘터리,가족,멜로/로맨스	개봉	고봉수	주식회사 씨엠닉스
2112	#살아있다	#ALIVE	2019	한국	장편	드라마	개봉	조일형	영화사 집,(주)퍼스펙티브픽쳐스
2113	비긴 어게인	Begin Again	2013	미국	장편	멜로/로맨스	개봉	존 카니	
2114	원더 우먼 1984	Wonder Woman 1984	2020	미국	장편	액션,어드벤처	개봉	팻티 젠킨스	
2115	얼굴없는 보스: 못다한 이야기 감독판		2019	한국	장편	범죄,드라마	개봉	임성용	(주)좋은 하늘
2116	푸른노을	Magic hour	2017	한국	장편	드라마	개봉	박규식	(주)마이더스필름
2117	그놈이다	FATAL INTUITION	2015	한국	장편	스릴러	개봉	윤준형	상상필름(주),(주)브라더픽처스
2118	처제의 은밀한 맛		2020	한국	장편	성인물(에로)	개봉	윤경식	(주)픽쳐레스크
2119	웃는남자 감독판		2018	한국	장편	공연	개봉	김수기	(주)디지컴코리아엠앤엠
2120	가장 보통의 연애	Crazy Romance	2019	한국	장편	멜로/로맨스,코미디	개봉	김한결	영화사 집
2121	백두산	ASHFALL	2019	한국	장편	어드벤처,드라마	개봉	이해준,김병서	주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠
2122	어멍	Eomung	2018	한국	장편	드라마	개봉	고훈	(주)로드픽쳐스
2123	청춘빌라 살인사건	Dogs in the House	2018	한국	장편	코미디,범죄,드라마	개봉	신해강	(주)메가폰엔터테인먼트
2124	아내를 죽였다	Killed My Wife	2019	한국	장편	스릴러,액션	개봉	김하라	단테미디어랩
2125	아직 사랑하고 있습니까?	HOW TO LIVE IN THIS WORLD	2019	한국	장편	코미디	개봉	신양중	(주)스튜디오후크
2126	너의 여자친구	My Bossy Girl	2018	한국	장편	코미디,멜로/로맨스,드라마	개봉	이장희	
2127	영하의 바람	Sub-zero Wind	2018	한국	장편	드라마	개봉	김유리	비밀의화원,브릿지 프로덕션
2128	집 이야기	I Am Home	2019	한국	장편	드라마	개봉	박제범	(주)영화사지음
2129	얼굴없는 보스	The Faceless Boss	2019	한국	장편	액션,드라마	개봉	송창용,송경용	(주)좋은 하늘
2130	삼촌	The Uncle	2017	한국	장편	미스터리,스릴러	개봉	김형진	영화사 진
2131	접전: 갑을 전쟁	Driving With My Boss	2019	한국	장편	코미디	개봉	지성원	
2132	카센타	NAILED	2019	한국	장편	범죄,코미디	개봉	하윤재	팔팔애비뉴(주)
2133	잊지 않았어요		2019	한국	장편	기타	개봉	박용철	청개구리필름
2134	우리를 갈라놓는 것들	Things That Do Us Part	2019	한국	장편	다큐멘터리	개봉	임흥순	반달
2135	지금 이순간		2019	한국	장편	드라마	개봉	이수성	㈜리필름
2136	첫잔처럼		2019	한국	장편	드라마	개봉	백승환	(주)백그림
2137	더하우스		2019	한국	장편	스릴러,미스터리,공포(호러)	개봉	박균이	(주)뉴버드
2138	두번할까요	LOVE, AGAIN	2019	한국	장편	코미디,멜로/로맨스	개봉	박용집	(주)영화사울림
2139	캠핑촌 아내		2020	한국	장편	드라마,성인물(에로)	개봉	최정자	주식회사 플릭스코
2140	호프	Hope	2019	기타	장편	드라마	개봉	마리아 소달	
2141	용감한 토끼 당당이	Brave Rabbit 2-Crazy Circus	2015	중국	장편	애니메이션	개봉	증헌림	
2142	장모의 마사지 - 무삭제		2020	한국	장편	멜로/로맨스	개봉	이정석	스마일컨텐츠
2143	예비신부의 첫날밤		2019	일본	장편	멜로/로맨스,드라마	개봉	히이라기 엔부	
2144	대물의 유혹:많이 쌓였죠?		2019	일본	장편	멜로/로맨스,드라마	개봉	야만카 소쿠스	
2145	리플레이	American Folk	2017	미국	장편	드라마,뮤지컬	개봉	데이비드 하인즈	
2146	양아버지의 뜨거운 맛		2019	일본	장편	멜로/로맨스,드라마	개봉	쿠로아카 긴조,사노 B사쿠	
2147	섹스에 환장한 아줌마들 무삭제판		2019	일본	장편	멜로/로맨스,드라마	개봉	이즈미 류지	
2148	누드모델이 된 아내		2019	일본	장편	멜로/로맨스,드라마	개봉	토미죠 타로	
2149	내 아내의 섹파 무삭제판		2019	일본	장편	멜로/로맨스,드라마	개봉	토미죠 타로	
2150	마음 울적한 날엔	One blue rainy day	2020	한국	장편	드라마	개봉	한유원,강동완,김남석	
2151	세인트 아가타	St, Agatha	2019	미국	장편	공포(호러),스릴러	개봉	대런 린 보우즈만	
2152	나쁜 녀석들: 더 무비	The Bad Guys: Reign of Chaos	2019	한국	장편	범죄,액션	개봉	손용호	(주)씨제이이엔엠,(주)영화사비단길
2153	은밀한 스와핑		2020	한국	장편	멜로/로맨스,드라마	개봉	판	(주)영진크리에이티브
2154	처제길들이기		2020	한국	장편	성인물(에로)	개봉	패콘	주식회사 패콘
2155	여친의 새엄마		2020	한국	장편	멜로/로맨스	개봉	이정석	스마일컨텐츠
2156	디어 마이 지니어스	Dear My Genius	2018	한국	장편	다큐멘터리	개봉	구윤주	오엠지프로덕션
2157	더 프롬	The Prom	2020	미국	장편	코미디,뮤지컬	개봉	라이언 머피	
2158	엽문 리부트 2020	Ip Man: Kung Fu Master	2019	중국	장편	액션	개봉	이입명	
2159	해머 오브 갓	Hammer of the Gods	2013	영국	장편	액션,드라마	개봉	파렌 블랙번	
2160	화양연화	In The Mood For Love	2000	홍콩,프랑스	장편	드라마,멜로/로맨스	개봉	왕가위	
2161	얼론	Alone	2020	미국	장편	액션,스릴러	개봉	조니 마틴	
2162	트라이얼 오브 더 시카고 7	The Trial of the Chicago 7	2020	미국	장편	드라마,스릴러	개봉	아론 소킨	
2163	초대녀 3		2020	한국	장편	멜로/로맨스	개봉	김종석	모히또필름
2164	기생충	PARASITE	2019	한국	장편	드라마	개봉	봉준호	(주)바른손이앤에이
2165	발레리안: 천 개 행성의 도시	VALERIAN : The City of A Thousand Planets	2017	프랑스	장편	액션,어드벤처,SF	개봉	뤽 베송	
2166	프리키 데스데이 순한맛	FREAKY	2020	미국	장편	코미디,공포(호러)	개봉	크리스토퍼 랜던	
2167	머리카락	Escape the Corset	2019	한국	장편	다큐멘터리	개봉	이미해	스튜디오 파동
2168	800	The Eight Hundred	2020	중국	장편	전쟁,액션	개봉	관후	
