,영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사,평점,배우
32,날씨의 아이,Weathering With You,2019,일본,장편,"애니메이션,판타지,멜로/로맨스",개봉,신카이 마코토,,7.96,심규혁|김유림|최한|강은애|이장원|손정아|다이고 코타로|모리 나나|오구리 슌|혼다 츠바사|히라이즈미 세이|
33,드라이브 마이 카,Drive My Car,2021,일본,장편,드라마,개봉,하마구치 류스케,,8.42,니시지마 히데토시|미우라 토코|
34,메모리: 조작살인,Memory,2021,한국,장편,미스터리,개봉,김현우,걸리버 픽처스,6.99,김윤서|정은우|
35,로그 인 벨지움,Log in Belgium,2021,한국,장편,다큐멘터리,개봉,유태오,태오닉 모,7.75,
36,정의심판,Justice Judgment,2019,한국,장편,드라마,개봉,조성현,프로젝트 엔터테인먼트,7.69,조성현|
37,이타미 준의 바다,The Sea of Itami Jun,2019,한국,장편,다큐멘터리,개봉,정다운,기린그림,8.99,쿠마 켄고|유이화|반 시게루|양방언|유지태|
38,휴가,A Leave,2020,한국,장편,드라마,개봉,이란희,작업장 ‘봄’,8.84,이봉하|김아석|신운섭|
39,파란입이 달린 얼굴,A Blue Mouthed Face,2015,한국,장편,드라마,개봉,김수정,냉이영화,8.05,장리우|진용욱|
40,혼자 사는 사람들,Aloners,2021,한국,장편,드라마,개봉,홍성은,한국영화아카데미,8.07,공승연|정다은|
41,지슬 - 끝나지 않은 세월2,Jiseul,2012,한국,장편,드라마,개봉,오멸,"주식회사 자파리필름,설문대영상",6.28,이경준|홍상표|문석범|양정원|박순동|성민철|
42,그물,THE NET,2016,한국,장편,드라마,개봉,김기덕,(주)김기덕 필름,7.51,류승범|이원근|김영민|최귀화|손민석|박지일|
43,십개월의 미래,TEN Months,2020,한국,장편,드라마,개봉,남궁선,한국예술종합학교 산학협력단,8.1,최성은|서영주|유이든|백현진|권아름|
44,"다시, 봄","Spring, Again",2018,한국,장편,"드라마,판타지",개봉,정용주,(주)26컴퍼니,8.0,이청아|홍종현|
45,극장판 귀멸의 칼날: 무한열차편,Demon Slayer: Kimetsu no Yaiba the Movie - Mugen Train,2020,일본,장편,애니메이션,개봉,소토자키 하루오,,9.27,하나에 나츠키|키토 아카리|이경태|김연우|김지율|이호산|장민혁|김현욱|전태열|
46,아쿠아맨,AQUAMAN,2018,"미국,호주",장편,액션,개봉,제임스 완,,8.36,앰버 허드|제이슨 모모아|윌렘 대포|패트릭 윌슨|니콜 키드먼|돌프 룬드그렌|
47,프렌치 디스패치,The French Dispatch,2021,미국,장편,"코미디,드라마,멜로/로맨스",개봉,웨스 앤더슨,,7.97,티모시 샬라메|빌 머레이|틸다 스윈튼|제프리 라이트|베니시오 델 토로|레아 세이두|프란시스 맥도맨드|애드리언 브로디|오웬 윌슨|리나 쿠드리|스티브 박|마티유 아말릭|
48,신비한 동물사전,Fantastic Beasts and Where to Find Them,2016,"미국,영국",장편,"어드벤처,가족,판타지",개봉,데이빗 예이츠,,8.18,에디 레드메인|캐서린 워터스턴|콜린 파렐|앨리슨 수돌|
49,한공주,HAN Gong-ju,2013,한국,장편,드라마,개봉,이수진,리 공동체 영화사,8.81,천우희|정인선|김소영|
50,써니 감독판,Sunny - Director's Cut,2011,한국,장편,"드라마,코미디",개봉,강형철,"(주)알로하픽쳐스,(주)토일렛픽쳐스",9.12,유호정|심은경|강소라|고수희|김민영|홍진희|박진주|이연경|남보라|김보미|민효린|
51,우상,Idol,2018,한국,장편,스릴러,개봉,이수진,"리 공동체 영화사,(주)바른손",3.92,한석규|설경구|천우희|
52,어제 일은 모두 괜찮아,The Fault Is Not Yours,2019,한국,장편,드라마,개봉,이성한,(주)부영엔터테인먼트,8.79,김재철|윤찬영|손상연|김민주|김진영|
53,벌새,House of Hummingbird,2018,한국,장편,드라마,개봉,김보라,에피파니(주),8.75,박지후|김새벽|
54,내안의 그놈,The Dude in Me,2018,한국,장편,"판타지,코미디",개봉,강효진,"(주)에코필름,(주)전망좋은 영화사",8.19,진영|박성웅|라미란|이수민|이준혁|김광규|
