,영화명,평점
0,베테랑,9.01
1,암살,8.98
2,어벤져스: 에이지 오브 울트론,8.32
3,국제시장,9.02
4,내부자들,9.00
5,사도,8.29
6,킹스맨 : 시크릿 에이전트,8.82
7,미션 임파서블: 로그네이션,8.75
8,연평해전,9.02
9,쥬라기 월드,7.88
10,검은 사제들,8.33
11,히말라야,7.98
12,인사이드 아웃,9.09
13,마션,8.43
14,조선명탐정 : 사라진 놉의 딸,7.68
15,매드 맥스: 분노의 도로,8.81
16,인턴,9.02
17,분노의 질주: 더 세븐,9.12
18,터미네이터 제니시스,7.69
19,스물,7.61
20,극비수사,8.08
21,앤트맨,8.62
22,스타워즈: 깨어난 포스,7.74
23,빅 히어로,0.00
24,메이즈 러너: 스코치 트라이얼,8.07
25,탐정 : 더 비기닝,8.46
26,미니언즈,7.95
27,스파이,8.82
28,악의 연대기,7.59
29,강남 1970,7.16
30,뷰티 인사이드,7.79
31,오늘의 연애,6.64
32,테이큰 3,7.87
33,007 스펙터,7.03
34,이미테이션 게임,8.81
35,샌 안드레아스,7.62
36,쎄시봉,6.18
37,더 폰,6.78
38,위플래쉬,9.75
39,대호,8.03
40,마다가스카의 펭귄,8.71
41,차이나타운,4.71
42,장수상회,8.92
43,성난 변호사,7.81
44,간신,6.90
45,박물관이 살아있다 : 비밀의 무덤,8.06
46,그놈이다,7.36
47,미쓰 와이프,8.95
48,몬스터 호텔 2,8.59
49,허삼관,7.53
50,"님아, 그 강을 건너지 마오",9.24
51,살인의뢰,6.71
52,손님,6.48
53,인시디어스 3,6.84
54,하트 오브 더 씨,8.20
55,헝거게임: 더 파이널,7.61
56,기술자들,7.09
57,신데렐라,8.37
58,픽셀,7.62
59,열정같은소리하고있네,7.41
60,특종: 량첸살인기,6.96
61,서부전선,6.37
62,채피,7.78
63,극장판 요괴워치: 탄생의 비밀이다냥!,8.79
64,헬머니,6.81
65,도라에몽 : 스탠 바이 미,8.77
66,위험한 상견례 2,6.64
67,명탐정 코난 : 화염의 해바라기,8.46
68,순수의 시대,6.33
69,오피스,8.44
70,"협녀, 칼의 기억",5.36
71,어린왕자,8.66
72,무뢰한,7.90
73,판타스틱 4,4.24
74,뽀로로 극장판 컴퓨터 왕국 대모험,8.80
75,내 심장을 쏴라,7.74
76,소수의견,0
77,그레이의 50가지 그림자,6.10
78,홈,8.37
79,경성학교: 사라진 소녀들,6.10
80,치외법권,5.93
81,아메리칸 스나이퍼,8.73
82,에베레스트,7.58
83,호빗: 다섯 군대 전투,8.50
84,스폰지밥 3D,8.35
85,극적인 하룻밤,6.59
86,뮨: 달의 요정,8.37
87,도리화가,5.60
88,이터널 선샤인,0
89,주피터 어센딩,5.99
90,패딩턴,8.60
91,오즈의 마법사: 돌아온 도로시,0
92,런 올 나이트,7.91
93,다이노 타임,0
94,인서전트,6.96
95,백 투 더 비기닝,7.98
96,투모로우랜드,7.29
97,스파이 브릿지,8.46
98,개를 훔치는 완벽한 방법,9.03
99,함정,5.77
100,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,8.23
101,언브로큰,8.47
102,소셜포비아,7.90
103,하늘을 걷는 남자,8.44
104,극장판 포켓몬스터 XY : 파괴의 포켓몬과 디안시,8.10
105,조선마술사,6.59
106,괴물의 아이,8.54
107,노아의 방주: 남겨진 녀석들,8.27
108,언프렌디드: 친구삭제,6.14
109,연애의 맛,7.36
110,포켓몬 더 무비 XY 후파: 광륜의 초마신,8.74
111,버드맨,0.00
112,기생수 파트1,7.72
113,더 셰프,7.30
114,팬,7.77
115,레전드,7.20
116,인터스텔라,4.06
117,19곰 테드 2,7.35
118,아메리칸 울트라,6.88
119,트랜스포터: 리퓰드,6.44
120,내부자들: 디 오리지널,9.04
121,센과 치히로의 행방불명,0
122,스누피: 더 피너츠 무비,7.92
123,최강전사 미니특공대 : 새로운 악당의 습격,7.55
124,아메리칸 셰프,8.79
125,짱구는 못말려 극장판 : 정면승부! 로봇아빠의 역습,9.12
126,워킹걸,6.50
127,은밀한 유혹,5.35
128,우먼 인 골드,8.86
129,화장,8.61
130,시카리오: 암살자의 도시,8.34
131,워터 디바이너,7.98
132,나의 절친 악당들,4.80
133,심야식당,8.14
134,러브 라이브! 더 스쿨 아이돌 무비,8.51
135,미라클 벨리에,8.88
136,퇴마: 무녀굴,6.55
137,눈의 여왕 2: 트롤의 마법거울,7.66
138,존 윅,7.97
139,상의원,7.85
140,극장판 도라에몽 : 진구의 우주영웅기~스페이스 히어로즈~,8.36
141,스틸 앨리스,8.54
142,셀프/리스,7.75
143,맨 프롬 UNCLE,8.20
144,더 건맨,6.82
145,프리덤,0.00
146,사우스포,8.56
147,돌연변이,6.96
148,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,8.41
149,빌리와 용감한 녀석들 3,8.13
150,맥베스,7.82
151,7번째 아들,4.92
152,숀더쉽,8.44
153,포커스,7.11
154,더 매직: 리틀톰과 도둑공주,7.83
155,갤로우즈,6.84
156,세인트 빈센트,8.56
157,빅 아이즈,8.29
158,와일드,6.54
159,더 이퀄라이저,8.58
160,지금은맞고그때는틀리다,6.45
161,엑스 마키나,7.63
162,모데카이,5.45
163,러덜리스,8.76
164,쓰리 썸머 나잇,6.66
165,타임 패러독스,8.25
166,피치 퍼펙트: 언프리티 걸즈,6.90
167,위자,3.56
168,러브 액츄얼리,0
169,다크 플레이스,7.67
170,히트맨: 에이전트 47,7.89
171,보루토 - 나루토 더 무비,9.21
172,기생수 파트2,7.52
173,위아영,7.37
174,아더와 미니모이 3: 두 세계의 전쟁,0
175,주온: 더 파이널,4.19
176,파더 앤 도터,8.24
177,말할 수 없는 비밀,1.33
178,드래곤 블레이드,5.85
179,대니 콜린스,8.83
180,나이트 크롤러,8.46
181,고녀석 맛나겠다2 : 함께라서 행복해,8.41
182,더 랍스터,7.90
183,개구리왕국,7.00
184,이웃집에 신이 산다,7.11
185,더 라스트: 나루토 더 무비,8.69
186,바다 탐험대 옥토넛 스페셜,0
187,더 비지트,7.17
188,바닷마을 다이어리,8.75
189,미안해 사랑해 고마워,7.16
190,비밀,6.77
191,라스트 위치 헌터,6.73
192,스트레이트 아웃 오브 컴턴,8.83
193,송 원,6.30
194,이스케이프,7.57
195,엘리노어 릭비: 그 남자 그 여자,7.68
196,크림슨 피크,7.13
197,한 번 더 해피엔딩,8.42
198,피케이: 별에서 온 얼간이,9.14
199,약장수,8.62
200,성실한 나라의 앨리스,8.44
201,일곱난쟁이,7.85
202,코블러,7.46
203,데모닉,5.74
204,유고와 라라: 하늘고래와 구름섬 대모험,8.29
205,"웰컴, 삼바",6.76
206,포켓몬 레인저와 바다의 왕자 마나피,0
207,아델라인 : 멈춰진 시간,8.23
208,내일을 위한 시간,8.56
209,신은 죽지 않았다,6.97
210,타이밍,6.78
211,정글번치: 너구리 해적단과 보물지도,7.17
212,위아 유어 프렌즈,8.56
213,추억의 마니,8.95
214,령 : 저주받은 사진,5.12
215,한여름의 판타지아,7.79
216,에스엠타운 더 스테이지,8.13
217,리틀드래곤 코코넛,8.61
218,팔로우,7.25
219,나를 미치게 하는 여자,6.45
220,"땡큐, 대디",8.22
221,더 테너 리리코 스핀토,8.20
222,파울볼,6.73
223,춘희막이,8.89
224,아이돌 마스터 무비 : 빛의 저편으로!,0
225,슈퍼 스파이: 수상한 임무,5.29
226,앙: 단팥 인생 이야기,8.92
227,라자루스,5.66
228,몬스터 헌트,6.89
229,뽀로로 극장판 눈요정 마을 대모험,7.17
230,러브 앤 머시,8.05
231,트레이서,6.72
232,폭스캐처,8.17
233,트래쉬,0.00
234,윈드랜드,8.17
235,숲속으로,4.95
236,진격의 거인: 홍련의 화살,7.32
237,종이 달,7.89
238,레전드 오브 래빗: 불의 전설,7.28
239,아마조니아,0
240,사이코패스,8.98
241,드래곤볼 Z : 부활의 F,5.88
242,마미,0.00
243,엘리제궁의 요리사,0
244,차일드 44,8.17
245,그 사람 그 사랑 그 세상,9.15
246,트립 투 이탈리아,6.05
247,스윗 프랑세즈,9.05
248,난 그녀와 키스했다,8.11
249,라이프,8.45
250,옐로우버드,8.00
251,부에나 비스타 소셜 클럽,0
252,비비안 마이어를 찾아서,0
253,무민 더 무비,7.93
254,마돈나,8.33
255,리그레션,6.25
256,원스 어폰 어 타임 인 아메리카,0
257,태양을 쏴라,4.00
258,유아 낫 유,8.76
259,어떤살인,7.52
260,이민자,0
261,어바웃 리키,8.04
262,나쁜 나라,6.49
263,셀마,8.44
264,순교,8.91
265,이다,0.00
266,꼬마 유령,0
267,사랑이 이긴다,7.07
268,아스테릭스: 신들의 전당,8.76
269,라이드 : 나에게로의 여행,8.10
270,뷰티풀 라이,9.02
271,엘리펀트 송,7.61
272,어느 하녀의 일기,6.64
273,하나와 앨리스: 살인사건,8.47
274,리틀 보이,8.98
275,"알로, 슈티",0
276,빽 투 더 퓨쳐 2,0
277,호비와 엄마나무섬의 비밀,8.79
278,위로공단,8.73
279,네이든,8.16
280,해피 홀리데이,7.97
281,미스터 터너,7.47
282,무드 인디고,0
283,아마데우스 감독판,0
284,베스트 오브 미,8.45
285,블랙버드,0.00
286,"안녕, 전우치! 도술로봇대결전",7.49
287,온리 유,7.20
288,폴라로이드,6.51
289,피아니스트,0.00
290,어우동: 주인 없는 꽃,4.76
291,빽 투 더 퓨쳐,0
292,타투,4.91
293,결혼하지 않아도 괜찮을까,0
294,검은손,3.22
295,클라우즈 오브 실스마리아,8.16
296,카이트,4.49
297,에이미,8.82
298,블러바드,7.96
299,바티칸 뮤지엄,6.79
300,써드 퍼슨 - 감독판,0
301,퇴마전: 마령검의 비밀,4.82
302,파리 폴리,8.58
303,제 7기사단,6.86
304,슈퍼레이서 엔지,8.00
305,리틀 포레스트 2: 겨울과 봄,8.42
306,우주로봇 씨어,0
307,트라이브,0.00
308,렛 미 인,10.00
309,리바이어던,7.96
310,디올 앤 아이,8.56
311,모스트 바이어런트,7.87
312,나의 어머니,8.94
313,리틀 포레스트: 여름과 가을,8.40
314,엘리노어 릭비: 그 남자,7.68
315,위선자들,5.87
316,슬로우 웨스트,7.80
317,우먼 인 블랙: 죽음의 천사,5.84
318,엑시덴탈 러브,6.59
319,엘리노어 릭비: 그 여자,7.68
320,나의 사적인 여자친구,8.23
321,명량: 회오리 바다를 향하여,5.04
322,더 기프트,7.69
323,마리 이야기: 손끝의 기적,8.92
324,칼릴 지브란의 예언자,8.80
325,경계의 저편 : I'LL BE HERE -미래편-,8.61
326,기적의 피아노,9.27
327,앨리스: 원더랜드에서 온 소년,7.33
328,슬리핑 위드 아더 피플,8.10
329,윈터 슬립,8.19
330,더 리치,8.44
