,영화명,평점
0,도둑들,7.65
1,"광해, 왕이 된 남자",9.25
2,어벤져스,8.80
3,늑대소년,8.66
4,다크 나이트 라이즈,9.02
5,바람과 함께 사라지다,7.59
6,어메이징 스파이더맨,7.77
7,범죄와의 전쟁: 나쁜놈들 전성시대,8.65
8,내 아내의 모든 것,8.58
9,연가시,7.16
10,건축학개론,8.68
11,댄싱퀸,8.87
12,부러진 화살,8.91
13,맨 인 블랙 3,8.19
14,레미제라블,8.39
15,26년,6.42
16,내가 살인범이다,8.48
17,브레이킹 던 part2,8.74
18,후궁 : 제왕의 첩,6.95
19,호빗: 뜻밖의 여정,8.42
20,미션임파서블:고스트프로토콜,8.74
21,화차,8.07
22,이웃사람,7.52
23,007 스카이폴,7.91
24,테이큰 2,7.00
25,배틀쉽,7.41
26,장화신은 고양이,9.00
27,타워,8.03
28,코리아,8.56
29,나의 PS 파트너,8.26
30,반창꼬,8.58
31,러브픽션,6.74
32,언터처블: 1%의 우정,9.34
33,아이스 에이지 4: 대륙 이동설,8.25
34,공모자들,7.02
35,마다가스카3 : 이번엔 서커스다!,9.02
36,하울링,6.77
37,용의자X,7.66
38,새미의 어드벤쳐 2,8.64
39,차형사,7.46
40,은교,7.06
41,간첩,7.16
42,간기남,6.92
43,메리다와 마법의 숲,7.59
44,토탈 리콜,7.30
45,R2B: 리턴투베이스,7.46
46,돈의 맛,6.81
47,잃어버린 세계를 찾아서 2: 신비의 섬,7.11
48,회사원,6.52
49,가디언즈,9.18
50,점박이:한반도의 공룡3D,7.63
51,본 레거시,7.13
52,가문의 영광5 - 가문의 귀환,6.05
53,시체가 돌아왔다,7.42
54,원더풀 라디오,7.57
55,돈 크라이 마미,6.44
56,프로메테우스,7.75
57,스텝업4 : 레볼루션,8.78
58,점쟁이들,5.84
59,셜록홈즈 : 그림자 게임,8.00
60,타이탄의 분노,6.86
61,디스 민즈 워,8.20
62,미확인 동영상 : 절대클릭금지,6.13
63,존 카터: 바숨 전쟁의 서막,7.59
64,나는 왕이로소이다,9.25
65,토르: 마법망치의 전설,5.61
66,퍼펙트 게임,8.94
67,스노우 화이트 앤 더 헌츠맨,7.42
