,영화명,평점
0,택시운전사,9.03
1,신과함께-죄와 벌,7.83
2,공조,8.27
3,스파이더맨: 홈 커밍,8.35
4,범죄도시,9.14
5,군함도,5.30
6,청년경찰,8.26
7,더 킹,9.12
8,미녀와 야수,8.78
9,킹스맨: 골든 서클,8.36
10,토르: 라그나로크,8.85
11,꾼,7.63
12,강철비,8.33
13,남한산성,8.10
14,미이라,7.24
15,분노의 질주: 더 익스트림,8.96
16,너의 이름은.,8.80
17,슈퍼배드 3,8.69
18,아이 캔 스피크,9.38
19,캐리비안의 해적: 죽은 자는 말이 없다,8.29
20,프리즌,3.67
21,덩케르크,8.29
22,가디언즈 오브 갤럭시 VOL. 2,8.94
23,살인자의 기억법,7.69
24,트랜스포머: 최후의 기사,6.27
25,보안관,0.00
26,조작된 도시,8.06
27,보스 베이비,8.68
28,재심,8.52
29,박열,8.12
30,모아나,9.18
31,마스터,8.75
32,로건,9.07
33,원더 우먼,7.69
34,겟 아웃,8.29
35,혹성탈출: 종의 전쟁,7.93
36,1987,9.23
37,애나벨 : 인형의 주인,7.30
38,노무현입니다,8.92
39,저스티스 리그,7.68
40,킬러의 보디가드,8.40
41,콩: 스컬 아일랜드,7.77
42,23 아이덴티티,7.66
43,임금님의 사건수첩,7.72
44,부라더,7.27
45,기억의 밤,8.19
46,해피 데스데이,8.20
47,브이아이피,6.53
48,특별시민,7.38
49,에이리언: 커버넌트,8.10
50,장산범,6.07
51,악녀,6.97
52,해빙,6.50
53,라라랜드,8.62
54,하루,7.05
55,지오스톰,7.45
56,스타워즈: 라스트 제다이,6.34
57,불한당: 나쁜 놈들의 세상,6.50
58,그것,8.95
59,오리엔트 특급 살인,8.00
60,대립군,7.29
61,베이비 드라이버,7.98
62,위대한 쇼맨,9.41
63,뽀로로 극장판 공룡섬 대모험,9.18
64,레지던트 이블: 파멸의 날,8.38
65,공각기동대 : 고스트 인 더 쉘,6.96
66,트롤,0.00
67,패신저스,8.02
68,씽,0.00
