,영화명,평점
0,극한직업,8.51
1,어벤져스: 엔드게임,9.38
2,겨울왕국 2,8.70
3,알라딘,9.38
4,기생충,8.48
5,엑시트,8.30
6,스파이더맨: 파 프롬 홈,8.32
7,백두산,5.74
8,캡틴 마블,6.75
9,조커,8.66
10,봉오동 전투,7.96
11,라이온 킹,8.28
12,나쁜 녀석들: 더 무비,6.44
13,82년생 김지영,6.67
14,분노의 질주: 홉스&쇼,7.84
15,토이 스토리 4,9.02
16,돈,4.56
17,악인전,7.87
18,가장 보통의 연애,7.72
19,말모이,9.14
20,증인,9.10
21,시동,7.58
22,블랙머니,8.41
23,터미네이터: 다크 페이트,8.43
24,사바하,7.34
25,타짜: 원 아이드 잭,5.37
26,신의 한 수: 귀수편,7.78
27,알리타: 배틀 엔젤,8.70
28,내안의 그놈,8.18
29,뺑반,5.97
30,변신,6.73
31,주먹왕 랄프 2: 인터넷 속으로,8.62
32,걸캅스,7.00
33,사자,6.89
34,아쿠아맨,8.36
35,드래곤 길들이기 3,9.26
36,나의 특별한 형제,8.95
37,어스,6.70
38,말레피센트 2,7.01
39,유열의 음악앨범,6.26
40,퍼펙트맨,7.85
41,포드 V 페라리,9.48
42,생일,0.00
43,"힘을 내요, 미스터 리",7.72
44,항거:유관순 이야기,8.66
45,장사리 : 잊혀진 영웅들,8.26
46,마이펫의 이중생활 2,8.77
47,롱 리브 더 킹: 목포 영웅,7.53
48,쥬만지: 넥스트 레벨,6.12
49,존 윅 3: 파라벨룸,7.99
50,천문: 하늘에 묻는다,8.81
51,나랏말싸미,3.38
52,엑스맨: 다크 피닉스,5.92
53,맨 인 블랙: 인터내셔널,5.09
54,레드슈즈,9.22
55,뽀로로 극장판 보물섬 대모험,9.29
56,캣츠,4.59
57,보헤미안 랩소디,9.42
58,명탐정 피카츄,8.09
59,신비아파트 극장판 하늘도깨비 대 요르문간드,8.55
60,나이브스 아웃,9.11
61,샤잠!,5.81
62,날씨의 아이,7.96
63,나를 찾아줘,6.78
64,광대들: 풍문조작단,6.56
65,그것: 두 번째 이야기,6.25
66,극장판 헬로카봇 : 달나라를 구해줘!,7.53
67,극장판 헬로카봇: 옴파로스 섬의 비밀,8.74
