,영화명,평점
194,엘프,0.00
195,라스트 레터,0
196,티탄,6.90
197,피닉스,0.00
198,좋은 사람,8.35
199,늑대와 춤을,0
200,호빗: 뜻밖의 여정,0
201,최선의 삶,8.13
202,스파이의 아내,8.17
203,팬텀: 더 뮤지컬 라이브,8.83
204,페이트 스테이 나이트 헤븐즈필 제3장 스프링 송,9.20
205,스피릿,7.72
206,화이트데이: 부서진 결계,0
207,토이 솔져스: 가짜사나이2 더 컴플리트,8.19
208,레 미제라블,0
209,미스터 존스,0
210,정말 먼 곳,8.01
211,킬링 카인드: 킬러의 수제자,5.96
212,타다: 대한민국 스타트업의 초상,8.02
213,1984 최동원,8.92
214,한창나이 선녀님,9.52
215,빛과 철,7.99
216,매직 스쿨: 초보마법사 아우라의 대모험,5.64
217,남색대문,0
218,타인의 친절,0
219,슈퍼노바,7.75
220,"좋은 빛, 좋은 공기",7.41
221,팅커 테일러 솔저 스파이,0
222,잃어버린 얼굴 1895,7.18
223,라임크라임,8.68
224,아멜리에,0
225,브리짓 존스의 일기,0
226,부활,0.00
227,타락천사,0
228,테넷,8.15
229,러빙 빈센트,0
230,유다 그리고 블랙 메시아,7.31
231,파워 오브 도그,7.61
232,스트레스 제로,8.50
233,프라미싱 영 우먼,8.92
234,완벽한 가족,0.00
235,그림자꽃,0
236,"그 시절, 우리가 좋아했던 소녀",0
237,아임 유어 맨,8.60
238,비밀의 정원,0.00
239,첫눈이 사라졌다,6.79
240,나이팅게일,0.00
241,블라이스 스피릿,6.21
242,크레센도,0
243,애플,7.84
244,드림걸즈,0
245,세버그,0
246,팜 스프링스,7.70
247,빌리 홀리데이,7.76
248,패왕별희 디 오리지널,0
249,마이 미씽 발렌타인,7.86
250,파이터,6.87
251,그녀가 사라졌다,8.46
252,괴짜들의 로맨스,8.33
253,킹메이커,7.28
254,태극기 휘날리며,0
255,"사랑하고 사랑받고, 차고 차이고",8.48
256,마리오네트,7.55
257,링: 더 라스트 챕터,3.75
258,당신의 사월,0
259,램,6.44
260,타짜,0.00
261,분노의 질주,7.36
262,플래시백,5.09
263,고양이를 부탁해,0
264,500일의 썸머,0
265,라이더스 오브 저스티스,7.46
266,리슨,0.00
267,휴가,0.00
268,다크 앤드 위키드,6.13
269,소년시절의 너,0
270,파힘,0
271,이웃사촌,6.05
272,세상의 모든 디저트: 러브 사라,7.82
273,매직아치,8.81
274,당신은 믿지 않겠지만,7.06
275,웬디,0.00
276,후겟츠 웨슬리,0
277,행복의 속도,8.87
278,원샷,8.41
279,"우리, 둘",8.59
280,클라이밍,0.00
281,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 완더링; 아가트람,4.52
282,스파이 캣,0
283,상견니,0
284,매트릭스,5.46
285,커피 오어 티,8.64
286,인트로덕션,7.22
287,이도공간,0
288,피넛 버터 팔콘,0
289,액션히어로,7.03
290,암모나이트,8.31
291,극장판 바이올렛 에버가든,9.51
292,토베 얀손,7.96
293,해변의 에트랑제,7.97
294,극장판 페이트/그랜드 오더 신성원탁영역 카멜롯 팔라딘; 아가트람,8.44
295,아비정전,0
296,나는 나대로 혼자서 간다,7.79
297,바람과 함께 사라지다,0
298,송해 1927,8.71
299,호빗: 스마우그의 폐허,0
300,2046,0.00
301,코스믹 씬,1.95
302,다이노 마이 프렌드,5.07
303,나소흑전기: 첫만남편,0
304,메이드 인 루프탑,7.72
305,노아의 방주 2: 새로운 세계로,8.23
306,할로윈 킬즈,4.73
307,트립 투 그리스,5.75
308,로그 인 벨지움,7.76
309,와인 패밀리,0
310,런,0.00
311,"그 여름, 가장 차가웠던",0
312,갈매기,8.65
313,스페이스 독 3: 트로피컬 어드벤처,6.14
314,승리호,7.00
315,굿바이,0.00
316,시간의 끝에서 널 기다려,0
317,타오르는 여인의 초상,0
318,당신얼굴 앞에서,7.66
319,경관의 피,7.26
320,비긴 어게인,0.00
321,무녀도,0
322,어바웃 타임,0.00
323,라라와 크리스마스 요정,7.48
324,사일런싱,5.84
325,종착역,7.49
326,여타짜,4.79
327,극장판 마이 리틀 포니: 새로운 희망,8.93
328,미스,3.32
329,BIAF2021 한국 단편 경쟁 B,0
330,간호중,7.96
331,걸,9.75
332,캅샵: 미친놈들의 전쟁,5.98
333,슈퍼문,7.41
334,더 퍼지: 포에버,6.54
335,디지몬 어드벤처 : 라스트 에볼루션 인연,9.51
336,100% 울프: 푸들이 될 순 없어,9.05
337,아르코 라이브 뮤지컬 호프,0.00
338,호라이즌 라인,5.19
339,모추어리 컬렉션,0
340,푸른 호수,9.34
341,국카스텐 콘서트 실황 : 해프닝,0.00
342,호빗: 다섯 군대 전투,0
343,아-하: 테이크 온 미,8.73
344,마세티 킬즈,0
345,인투 더 미러,0
346,코드 카림,5.00
347,내일도 우린 사랑하고 있을까,7.55
348,내가 날 부를 때,8.03
349,잘리카투,0
350,적호서생,7.43
351,싸나희 순정,7.91
352,나이브스 아웃,0
353,"러브 어페어: 우리가 말하는 것, 우리가 하는 것",7.80
354,더 하더 데이 폴,5.24
355,쁘떼뜨,0
356,리틀드래곤 코코넛2: 정글대탐험,0
357,마마무 2021 웨어 아 위 콘서트 더 무비,0.00
358,나는 조선사람입니다,8.62
359,피부를 판 남자,7.76
360,러브레터,0.00
361,허트 로커,0
362,운디네,8.21
363,와일드 마운틴 타임,7.61
364,원더,0.00
365,부니베어: 애들이 줄었어요,0
366,화녀,0.00
367,범털 2: 쩐의 전쟁,5.57
368,테슬라,4.37
369,아버지의 길,8.72
370,랜드,0.00
371,소설가 구보의 하루,8.51
372,빛의 아버지: 파이널 판타지 XIV,0
373,"쿠오바디스,아이다",8.74
374,워스,8.53
375,바쿠라우,0
376,인천스텔라,6.47
377,도쿄 리벤저스,7.97
378,클래식,0.00
379,비커밍 아스트리드,0
380,실: 인연의 시작,8.08
381,클로저,0
382,신비아파트 뮤지컬 시즌3 : 뱀파이어왕의 비밀,0.00
383,가을의 마티네,0
384,구원,7.05
385,킬러의 보디가드 2: 킬러의 와이프,6.80
386,끝없음에 관하여,0
387,아워 미드나잇,7.94
388,그레타 툰베리,5.03
389,큰엄마의 미친봉고,6.02
390,"2021 스웨그 에이지 : 외쳐, 조선!",8.24
391,아틱,0.00
392,시카다 3301,7.13
393,"구라, 베토벤",8.42
394,더스트맨,7.95
395,메이헴,0
396,더 시크릿,0.00
397,바그다드 카페 : 디렉터스컷,0
398,미스피츠,3.32
399,위플래쉬,0
400,썰,7.15
401,박강아름 결혼하다,0
402,뉴 오더,7.70
403,암살자들,7.33
404,엽기적인 그녀,0
405,유어 아이즈 텔,9.46
406,꼬마 마법사 레미 : 견습 마법사를 찾아서,7.50
407,쿠사마 야요이: 무한의 세계,0
408,테이큰 하드체이싱,4.50
409,십계,0
410,쇼크 웨이브 2,8.91
411,이보다 더 좋을 순 없다,0
412,미켈란젤로,0
413,흩어진 밤,0
414,싸반,0
415,이 안에 외계인이 있다,0
416,레이니 데이 인 뉴욕,0
417,8월의 크리스마스,0
418,죽은 시인의 사회,0
419,노웨어 스페셜,8.55
420,왕십리 김종분,9.11
