,영화명,평점
0,신과함께-인과 연,7.71
1,어벤져스: 인피니티 워,8.96
2,보헤미안 랩소디,9.42
3,미션 임파서블: 폴아웃,9.12
4,신과함께-죄와 벌,7.83
5,쥬라기 월드: 폴른 킹덤,8.01
6,앤트맨과 와스프,8.62
7,안시성,7.99
8,블랙 팬서,7.51
9,완벽한 타인,8.61
10,1987,0.00
11,독전,7.53
12,공작,6.84
13,베놈,7.91
14,암수살인,8.33
15,데드풀 2,8.69
16,국가부도의 날,8.12
17,코코,0.00
18,아쿠아맨,8.36
19,그것만이 내 세상,8.95
20,마녀,8.22
21,탐정: 리턴즈,8.40
22,인크레더블 2,9.22
23,서치,0.00
24,너의 결혼식,8.42
25,곤지암,6.39
26,지금 만나러 갑니다,8.75
27,목격자,5.40
28,조선명탐정: 흡혈괴마의 비밀,6.64
29,신비한 동물들과 그린델왈드의 범죄,6.17
30,메이즈 러너: 데스 큐어,7.84
31,맘마미아!2,8.97
32,레디 플레이어 원,8.53
33,명당,7.06
34,협상,7.32
35,마약왕,6.34
36,쥬만지: 새로운 세계,7.89
37,창궐,5.06
38,성난황소,7.47
39,도어락,5.84
40,리틀 포레스트,8.84
41,골든슬럼버,5.15
42,램페이지,8.29
43,궁합,6.45
44,오션스8,7.64
45,사라진 밤,7.04
46,스윙키즈,8.41
47,바람 바람 바람,8.39
48,PMC: 더 벙커,5.19
49,범블비,8.08
50,챔피언,6.30
51,퍼시픽 림: 업라이징,6.61
52,몬스터 호텔 3,8.59
53,더 넌,6.67
54,스카이스크래퍼,7.57
55,염력,4.99
56,월요일이 사라졌다,8.33
57,인랑,3.87
58,극장판 헬로카봇 : 백악기 시대,9.23
59,레슬러,8.00
60,상류사회,4.23
61,물괴,4.81
62,미쓰백,9.10
63,신비아파트: 금빛 도깨비와 비밀의 동굴,8.71
64,퍼스트맨,6.97
65,스파이더맨: 뉴 유니버스,9.21
66,위대한 쇼맨,9.41
67,인시디어스4: 라스트 키,6.83
68,"그날, 바다",8.94
69,툼레이더,6.35
70,페르디난드,8.89
71,버닝,6.72
72,7년의 밤,4.77
73,메가로돈,5.67
74,콰이어트 플레이스,7.68
75,호두까기 인형과 4개의 왕국,7.14
76,셰이프 오브 워터: 사랑의 모양,8.34
77,곰돌이 푸 다시 만나 행복해,8.98
78,변산,7.72
79,그린치,8.33
80,스타 이즈 본,9.20
81,동네사람들,5.23
82,원더풀 고스트,6.61
83,강철비,8.33
84,흥부: 글로 세상을 바꾼 자,4.43
85,명탐정 코난 : 제로의 집행인,9.05
86,피터 래빗,8.76
87,점박이 한반도의 공룡2 : 새로운 낙원,9.11
88,패딩턴 2,9.13
89,허스토리,9.29
90,미드나잇 선,8.89
91,덕구,9.44
92,번 더 스테이지: 더 무비,9.31
93,트루스 오어 데어,7.16
94,커뮤터,8.13
95,후드,6.48
96,극장판 짱구는 못말려: 아뵤! 쿵후 보이즈 ~라면 대란~,8.09
97,해리포터와 마법사의 돌,0
98,모털 엔진,6.12
99,바울,9.16
100,나를 차버린 스파이,8.01
101,명탐정 코난:감벽의 관,0
102,아이 필 프리티,8.58
103,시카리오: 데이 오브 솔다도,8.42
104,치즈인더트랩,5.07
105,12 솔져스,8.14
106,1급기밀,0
107,50가지 그림자: 해방,7.96
108,속닥속닥,4.99
109,벽 속에 숨은 마법시계,5.95
110,허리케인 하이스트,7.40
111,한 솔로: 스타워즈 스토리,7.86
112,콜 미 바이 유어 네임,7.99
113,나미야 잡화점의 기적,7.31
114,업그레이드,9.07
115,런닝맨 : 풀룰루의 역습,7.72
116,극장판 포켓몬스터DP - 디아루가 VS 펄기아 VS 다크라이,8.06
117,극장판 도라에몽: 진구의 보물섬,8.76
118,원더,0.00
119,유전,5.83
120,더 프레데터,5.71
121,어느 가족,9.21
122,극장판 포켓몬스터 모두의 이야기,8.96
123,극장판 요괴워치 섀도사이드: 도깨비왕의 부활,8.78
124,크레이지 리치 아시안,6.82
125,다운사이징,5.23
126,나를 기억해,6.70
127,더 포스트,0.00
128,빅샤크: 매직체인지,0
129,독전: 익스텐디드 컷,7.53
130,얼리맨,8.15
131,부탁 하나만 들어줘,7.78
132,"안녕, 나의 소녀",8.29
133,당갈,0
134,할로윈,6.23
135,레드 스패로,8.54
136,레이디 버드,8.53
137,게이트,6.68
138,미니특공대X,7.56
139,여중생A,6.28
140,쓰리 빌보드,8.80
141,마야2,9.34
142,커다랗고 커다랗고 커다란 배,9.00
143,플로리다 프로젝트,8.66
144,극장판 포켓몬스터 너로 정했다!,8.84
145,베일리 어게인,9.53
146,루이스,8.94
147,셜록 놈즈,8.48
148,신은 죽지 않았다 3: 어둠 속의 빛,8.32
149,출국,8.77
150,호텔 아르테미스,6.49
151,올 더 머니,7.97
152,마일22,7.45
153,여곡성,4.08
154,레오나르도 다 빈치,7.92
