,영화명,평점
0,7번방의 선물,8.83
1,설국열차,7.98
2,관상,8.02
3,아이언맨 3,8.86
4,베를린,7.0
5,은밀하게 위대하게,7.12
6,변호인,9.0
7,숨바꼭질,6.75
8,더 테러 라이브,8.3
9,감시자들,7.76
10,월드 워 Z,8.24
11,신세계,8.94
12,박수건달,8.12
13,스파이,6.95
14,그래비티,8.31
15,타워,0.0
16,감기,6.92
17,토르: 다크 월드,8.35
18,레드: 더 레전드,8.02
19,친구 2,6.19
20,어바웃 타임,9.2
21,나우 유 씨 미 : 마술사기단,8.04
22,소원,9.34
23,레미제라블,8.39
24,퍼시픽 림,7.68
25,화이: 괴물을 삼킨 아이,7.84
26,컨저링,7.86
27,맨 오브 스틸,7.92
28,용의자,8.38
29,호빗: 스마우그의 폐허,8.49
30,몽타주,0.0
31,터보,9.04
32,연애의 온도,7.47
33,지.아이.조 2,7.07
34,분노의 질주: 더 맥시멈,8.82
35,공범,7.16
36,집으로 가는 길,8.83
37,전설의 주먹,7.56
38,파파로티,8.31
39,스타트렉 다크니스,8.97
40,라이프 오브 파이,8.87
41,오블리비언,8.26
42,위대한 개츠비,8.46
43,다이하드: 굿 데이 투 다이,7.12
44,런닝맨,7.77
45,미스터 고,7.76
46,결혼전야,6.98
47,깡철이,6.97
48,엘리시움,7.24
49,더 웹툰: 예고살인,7.21
50,웜 바디스,8.53
51,고령화 가족,8.2
52,헝거게임: 캣칭 파이어,8.33
53,더 울버린,6.12
54,동창생,7.31
55,에픽 : 숲속의 전설,8.77
56,전국노래자랑,8.0
57,슈퍼배드 2,8.82
58,잭 더 자이언트 킬러,7.71
59,크루즈 패밀리,9.24
60,뽀로로 극장판 슈퍼썰매 대모험,8.62
61,개구쟁이 스머프 2,7.87
62,몬스터 호텔,8.23
63,열한시,6.44
64,몬스터 대학교,8.78
65,남쪽으로 튀어,7.81
66,하늘에서 음식이 내린다면 2,8.08
67,잭 리처,7.28
68,반창꼬,8.58
69,더 파이브,6.14
70,더 임파서블,0.0
71,인시디어스: 두번째 집,7.25
72,섀도우 헌터스: 뼈의 도시,7.32
73,화이트 하우스 다운,7.42
74,애프터 어스,6.86
75,사이코메트리,6.81
76,퍼시 잭슨과 괴물의 바다,7.78
77,남자사용설명서,7.05
78,다이노소어 어드벤처 3D,9.0
79,무서운 이야기 2,6.63
80,캐치미,6.66
81,썬더와 마법저택,8.8
82,노브레싱,7.6
83,클라우드 아틀라스,8.24
84,창수,7.13
85,명탐정 코난 : 수평선상의 음모,0.0
86,론 레인저,7.33
87,스토커,7.3
88,오즈 그레이트 앤드 파워풀,7.17
89,미나문방구,7.06
90,차이니즈 조디악,7.82
