순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,부산행,2016-07-20,93178283048,0.053,11565479,1788,151315,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
2,검사외전,2016-02-03,77320403264,0.044,9707581,1812,153532,한국,한국,(주)쇼박스
3,캡틴 아메리카: 시빌 워,2016-04-27,72672111827,0.042,8677249,1991,161696,미국,미국,월트디즈니컴퍼니코리아(주)
4,밀정,2016-09-07,61269783831,0.035,7500420,1444,138161,한국,"한국,미국",워너브러더스 코리아(주)
5,터널,2016-08-10,57529484417,0.033,7120508,1105,113201,한국,한국,(주)쇼박스
6,인천상륙작전,2016-07-27,55101410303,0.032,7049643,1049,97019,한국,한국,(주)씨제이이엔엠
7,럭키,2016-10-13,56444461256,0.032,6975290,1234,155977,한국,한국,(주)쇼박스
8,곡성,2016-05-12,55863520382,0.032,6879908,1485,130322,한국,"한국,미국",이십세기폭스코리아(주)
9,덕혜옹주,2016-08-03,44393828109,0.025,5599229,964,97312,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
10,닥터 스트레인지,2016-10-26,47481830396,0.027,5446239,1503,162856,미국,미국,월트디즈니컴퍼니코리아(주)
11,마스터,2016-12-21,39784641065,0.023,4935320,1501,70786,한국,한국,(주)씨제이이엔엠
12,주토피아,2016-02-17,37096057742,0.021,4706158,735,131005,미국,미국,월트디즈니컴퍼니코리아(주)
13,신비한 동물사전,2016-11-16,39300515858,0.023,4662534,1431,115676,미국,"미국,영국",워너브러더스 코리아(주)
14,판도라,2016-12-07,33955398164,0.019,4313864,1184,90758,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
15,아가씨,2016-06-01,35211229991,0.02,4287839,1171,90365,한국,한국,(주)씨제이이엔엠
16,쿵푸팬더3,2016-01-28,31340798156,0.018,3984812,1365,97404,미국,미국,(주)씨제이이엔엠
17,귀향,2016-02-24,27249738990,0.016,3587173,876,90286,한국,한국,(주)와우픽쳐스
18,데드풀,2016-02-17,27595618651,0.016,3317196,1036,82521,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
19,나우 유 씨 미 2,2016-07-13,25116690113,0.014,3100113,1200,56981,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,형,2016-11-23,23113768293,0.013,2979659,993,83518,한국,한국,(주)씨제이이엔엠
21,엑스맨: 아포칼립스,2016-05-25,24467887950,0.014,2938818,1262,66471,미국,미국,이십세기폭스코리아(주)
22,미스 페레그린과 이상한 아이들의 집,2016-09-28,21841214586,0.013,2718158,904,70451,미국,"미국,벨기에,영국",이십세기폭스코리아(주)
23,히말라야,2015-12-16,20705587567,0.012,2630352,955,61673,한국,한국,(주)씨제이이엔엠
24,제이슨 본,2016-07-27,21253434663,0.012,2611966,827,39806,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
25,도리를 찾아서,2016-07-06,20703899933,0.012,2601734,1091,55110,미국,미국,월트디즈니컴퍼니코리아(주)
26,아수라,2016-09-28,20576226662,0.012,2594028,1278,68040,한국,한국,(주)씨제이이엔엠
27,정글북,2016-06-09,21517647134,0.012,2537438,924,59041,미국,미국,월트디즈니컴퍼니코리아(주)
28,마이펫의 이중생활,2016-08-03,19406436655,0.011,2520670,726,39653,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
29,라라랜드,2016-12-07,19996139232,0.011,2385108,727,56408,미국,미국,판씨네마(주)
30,배트맨 대 슈퍼맨: 저스티스의 시작,2016-03-24,18906246428,0.011,2256913,1709,95669,미국,미국,워너브러더스 코리아(주)
31,굿바이 싱글,2016-06-29,16912706195,0.01,2108273,841,56380,한국,한국,(주)쇼박스
32,봉이 김선달,2016-07-06,16227052642,0.009,2051277,942,51418,한국,한국,(주)씨제이이엔엠
33,레버넌트: 죽음에서 돌아온 자,2016-01-14,16107360130,0.009,2007188,967,55063,미국,미국,이십세기폭스코리아(주)
34,컨저링 2,2016-06-09,15759374229,0.009,1928605,640,45816,미국,미국,워너브러더스 코리아(주)
35,내부자들: 디 오리지널,2015-12-31,15742927260,0.009,1924720,838,45697,한국,한국,(주)쇼박스
36,수어사이드 스쿼드,2016-08-03,15874111188,0.009,1898220,823,29512,미국,미국,워너브러더스 코리아(주)
37,인디펜던스 데이 : 리써전스,2016-06-22,12770879840,0.007,1500830,926,47432,미국,미국,이십세기폭스코리아(주)
38,탐정 홍길동: 사라진 마을,2016-05-04,11516170845,0.007,1430885,764,41076,한국,한국,(주)씨제이이엔엠
39,벤허,2016-09-14,11410860395,0.007,1400301,717,38941,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
40,굿 다이노,2016-01-07,9756167238,0.006,1328913,814,33127,미국,미국,월트디즈니컴퍼니코리아(주)
41,셜록: 유령신부,2016-01-02,9992425049,0.006,1278894,891,32683,영국,영국,메가박스중앙(주)플러스엠
42,특별수사: 사형수의 편지,2016-06-16,9929947065,0.006,1241899,691,39372,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
43,시간이탈자,2016-04-13,9731838195,0.006,1202384,733,55075,한국,한국,(주)씨제이이엔엠
44,동주,2016-02-17,8889077089,0.005,1172641,543,39958,한국,한국,메가박스중앙(주)플러스엠
45,워크래프트: 전쟁의 서막,2016-06-09,10142271205,0.006,1163274,736,34087,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
46,스타트렉 비욘드,2016-08-17,10190375820,0.006,1157156,716,38199,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
47,미씽: 사라진 여자,2016-11-30,8881616256,0.005,1153109,790,40617,한국,한국,메가박스중앙(주)플러스엠
48,"당신, 거기 있어줄래요",2016-12-14,8999085248,0.005,1124815,767,39181,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
49,라이트 아웃,2016-08-24,8893059975,0.005,1111284,659,34444,미국,미국,워너브러더스 코리아(주)
50,오빠생각,2016-01-21,8060591287,0.005,1069864,855,44801,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
51,"날, 보러와요",2016-04-07,8836144063,0.005,1063442,683,49237,한국,한국,메가박스중앙(주)플러스엠
52,씽,2016-12-21,8203857789,0.005,1063175,795,19645,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
53,맨 인 더 다크,2016-10-05,8480368672,0.005,1003406,671,40136,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
54,"고산자, 대동여지도",2016-09-07,7801007258,0.004,974262,765,38048,한국,한국,(주)씨제이이엔엠
55,미 비포 유,2016-06-01,7663772990,0.004,945172,481,28458,미국,미국,워너브러더스 코리아(주)
56,매그니피센트 7,2016-09-14,7633490421,0.004,921317,579,27648,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
57,갓 오브 이집트,2016-03-03,7621291624,0.004,919834,618,35323,미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
58,레전드 오브 타잔,2016-06-29,7196970717,0.004,858402,593,28021,미국,미국,워너브러더스 코리아(주)
59,좋아해줘,2016-02-17,6572774337,0.004,848148,637,27125,한국,한국,(주)씨제이이엔엠
60,브리짓 존스의 베이비,2016-09-28,6678585874,0.004,820995,509,30736,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
61,스플릿,2016-11-09,6102712539,0.004,758195,702,32616,한국,한국,오퍼스픽쳐스(유)
62,런던 해즈 폴른,2016-03-10,5908367979,0.003,731584,526,37569,미국,"미국,영국",메가박스중앙(주)플러스엠
63,국가대표 2,2016-08-10,5482232042,0.003,709929,562,20689,한국,한국,메가박스중앙(주)플러스엠
64,인페르노,2016-10-19,5656281303,0.003,689071,754,31809,미국,"미국,일본,터키,헝가리",유니버설픽쳐스인터내셔널 코리아(유)
65,앵그리버드 더 무비,2016-05-19,5218111744,0.003,680606,661,15812,미국,"미국,핀란드",유니버설픽쳐스인터내셔널 코리아(유)
66,그날의 분위기,2016-01-14,5149571612,0.003,653287,592,27186,한국,한국,(주)쇼박스
67,사냥,2016-06-29,4912658515,0.003,645922,696,28862,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
68,널 기다리며,2016-03-10,5234303336,0.003,635235,551,33774,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
69,설리: 허드슨강의 기적,2016-09-28,5234170754,0.003,627102,573,26609,미국,미국,워너브러더스 코리아(주)
70,잭 리처: 네버 고 백,2016-11-30,4638072258,0.003,611097,667,23659,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
71,로그 원: 스타워즈 스토리,2016-12-28,5127537094,0.003,596487,907,15441,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
72,싱 스트리트,2016-05-19,4489637672,0.003,560790,494,22825,아일랜드,"아일랜드,영국,미국",(주)이수C&E
73,아이스 에이지: 지구 대충돌,2016-07-20,4092484600,0.002,553760,580,13018,미국,미국,이십세기폭스코리아(주)
74,몬스터 호텔 2,2015-12-24,4059258691,0.002,552334,637,13162,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
75,메카닉: 리크루트,2016-08-31,4458200800,0.003,551897,320,17497,미국,"미국,프랑스",(주)제이앤씨미디어그룹
76,고스트버스터즈,2016-08-25,4116570075,0.002,515553,511,18026,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
77,거울나라의 앨리스,2016-09-07,4145733267,0.002,513202,515,19585,미국,미국,월트디즈니컴퍼니코리아(주)
78,가려진 시간,2016-11-16,3946462400,0.002,510878,884,30404,한국,한국,(주)쇼박스
79,명탐정 코난: 순흑의 악몽,2016-08-03,3766157500,0.002,508869,447,7983,일본,일본,(주)씨제이이엔엠
80,해어화,2016-04-13,3768200759,0.002,485695,572,32322,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
81,계춘할망,2016-05-19,3600794348,0.002,482516,526,19644,한국,한국,(주)콘텐츠 난다긴다
82,"로봇, 소리",2016-01-27,3519595560,0.002,476665,609,25502,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
83,스타워즈: 깨어난 포스,2015-12-17,4204317791,0.002,470645,552,12801,미국,미국,월트디즈니컴퍼니코리아(주)
84,빅쇼트,2016-01-21,3622652707,0.002,446712,489,17316,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
85,헌츠맨: 윈터스 워,2016-04-13,3544262706,0.002,445009,557,25789,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
86,나를 잊지 말아요,2016-01-07,3398915000,0.002,425799,559,19138,한국,한국,(주)씨제이이엔엠
87,나의 소녀시대,2016-05-12,3314491150,0.002,409537,201,12404,대만,대만,오드
88,조선마술사,2015-12-30,3143566733,0.002,403919,608,13708,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
89,언더 워터,2016-07-13,3111772391,0.002,384789,518,13058,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
90,클로버필드 10번지,2016-04-07,2928428655,0.002,357736,575,24680,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
91,위자: 저주의 시작,2016-11-09,2637517406,0.002,331877,467,15660,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
92,극장판 요괴워치: 염라대왕과 5개의 이야기다냥!,2016-07-20,2467275080,0.001,330725,403,6607,일본,일본,(주)씨제이이엔엠
93,아기배달부 스토크,2016-12-07,2436955700,0.001,322354,538,9388,미국,미국,워너브러더스 코리아(주)
94,캐롤,2016-02-04,2645756616,0.002,319357,288,11092,미국,"미국,영국",CGV아트하우스
95,위대한 소원,2016-04-21,2440004213,0.001,308398,524,22769,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
96,스포트라이트,2016-02-24,2402036255,0.001,299878,320,13482,미국,미국,(주)팝엔터테인먼트
97,구스범스,2016-01-14,2221639712,0.001,297356,515,13477,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
98,포인트 브레이크,2016-01-07,2323707051,0.001,294320,409,12111,미국,미국,"(주)시네마서비스,(주)나이너스엔터테인먼트"
99,앨빈과 슈퍼밴드: 악동 어드벤처,2016-02-04,2125772200,0.001,292495,380,8917,미국,미국,이십세기폭스코리아(주)
100,혼숨,2016-10-26,2258422445,0.001,288016,498,14510,한국,한국,(주)프레인글로벌
101,극장판 안녕 자두야,2016-05-04,2137638000,0.001,280406,523,7758,한국,한국,(주)씨제이이엔엠
102,비밀은 없다,2016-06-23,2029410239,0.001,250829,502,14749,한국,한국,(주)씨제이이엔엠
103,순정,2016-02-24,1738293033,0.001,240484,467,10545,한국,한국,(주)리틀빅픽쳐스
104,닌자터틀 : 어둠의 히어로,2016-06-16,1934052000,0.001,235207,517,13943,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
105,드림 쏭,2016-09-14,1826269700,0.001,234387,399,6408,미국,미국,(주)이수C&E
106,독수리 에디,2016-04-07,1799381120,0.001,226341,528,17411,미국,미국,이십세기폭스코리아(주)
107,포켓몬 더 무비 XY&Z 「볼케니온 : 기계왕국의 비밀」,2016-12-22,1666637400,0.001,219047,480,4563,일본,일본,(주)이수C&E
108,원피스 필름 골드,2016-12-08,1700502100,0.001,215546,445,6730,일본,일본,(주)씨제이이엔엠
109,아이 엠 어 히어로,2016-09-21,1806714900,0.001,212599,263,8536,일본,일본,(주)영화사 빅
110,남과 여,2016-02-25,1651122533,0.001,203775,449,9790,한국,한국,(주)쇼박스
111,짱구는 못말려 극장판: 나의 이사 이야기 선인장 대습격,2016-01-07,1472866700,0.001,202538,350,6707,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
112,"무현, 두 도시 이야기",2016-10-26,1511430600,0.001,192668,136,8986,한국,한국,(주)모멘텀엔터테인먼트
113,글로리데이,2016-03-24,1485342868,0.001,189221,494,12578,한국,한국,(주)엣나인필름
114,노트북,2004-11-26,1505476700,0.001,182633,148,11531,미국,미국,"(주)퍼스트런,TCO(주)더콘텐츠온,글뫼 주식회사,CJ ENM"
115,대호,2015-12-16,1385096300,0.001,178574,409,5222,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
116,부활,2016-03-17,1247191600,0.001,176122,136,8581,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
117,매직브러시,2016-05-04,1294829300,0.001,172370,460,5404,중국,중국,(주)영화사 빅
118,조이,2016-03-10,1378007200,0.001,172253,405,12860,미국,미국,이십세기폭스코리아(주)
119,대배우,2016-03-30,1246200228,0.001,169984,474,16517,한국,한국,"(주)대명문화공장,(주)리틀빅픽쳐스"
120,빅,2016-07-27,1176116720,0.001,161196,332,3870,미국,"미국,인도",(주)이수C&E
121,달빛궁궐,2016-09-07,1147863700,0.001,153097,425,6067,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
122,어린왕자,2015-12-23,1142087833,0.001,150512,368,3973,프랑스,프랑스,씨네그루(주)다우기술
123,미스컨덕트,2016-03-30,1138175038,0.001,149095,470,12017,미국,미국,"(주)박수엔터테인먼트,㈜코리아스크린"
124,500일의 썸머,2010-01-21,1222841900,0.001,147891,156,5851,미국,미국,"(주)스튜디오디에이치엘,(주)팝엔터테인먼트,이십세기폭스코리아(주)"
125,서울역,2016-08-17,1162471562,0.001,147031,440,8054,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
126,13시간,2016-03-03,1170500514,0.001,145952,380,9615,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
127,자백,2016-10-13,1128388200,0.001,143648,152,6071,한국,한국,(주)엣나인필름
128,장난감이 살아있다,2016-09-07,1112430600,0.001,142977,294,4346,아르헨티나,"아르헨티나,스페인","㈜코리아스크린,와이드 릴리즈(주)"
129,극장판 아이엠스타 : 꿈의 오디션!,2016-02-11,1048246100,0.001,141351,254,3903,일본,일본,(주)씨제이이엔엠
130,플로렌스,2016-08-24,1079970100,0.001,139717,382,8146,영국,영국,(주)이수C&E
131,로빈슨 크루소,2016-09-07,1071533400,0.001,139392,329,4326,벨기에,벨기에,(주)영화사 빅
132,제 5침공,2016-02-25,1041049900,0.001,135874,312,5195,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
133,극장판 꼬마버스 타요의 에이스 구출작전,2016-01-21,905899900,0.001,135398,200,5395,한국,한국,(주)아이코닉스
134,대니쉬 걸,2016-02-17,1074963884,0.001,134079,246,5683,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
135,인생은 아름다워,1999-03-06,847806900,0,127325,147,7167,이탈리아,이탈리아,(주)키다리이엔티
136,카페 소사이어티,2016-09-14,1047396666,0.001,126460,199,6371,미국,미국,"찬란,CGV아트하우스"
137,마이 리틀 자이언트,2016-08-10,991375900,0.001,125800,128,3409,미국,미국,월트디즈니컴퍼니코리아(주)
138,죽여주는 여자,2016-10-06,884865300,0.001,121444,317,8350,한국,한국,CGV아트하우스
139,헤이트풀8,2016-01-07,996268400,0.001,120362,167,4761,미국,미국,(주)누리픽쳐스
140,감바의 대모험,2016-11-10,874685700,0.001,117488,400,4735,일본,일본,(주)영화사 빅
141,최강전사 미니특공대: 영웅의 탄생,2016-02-04,877875200,0.001,117170,349,4863,한국,한국,(주)삼지애니메이션
142,다이노소어 어드벤처 : 백악기 공룡대백과,2016-05-04,854091000,0,112242,325,3643,영국,영국,"(주)박수엔터테인먼트,(주)애니플러스"
143,피터와 드래곤,2016-09-28,865600600,0,109137,167,5201,미국,미국,월트디즈니컴퍼니코리아(주)
144,킹 오브 프리즘 (바이 프리티 리듬),2016-08-11,859771500,0,103852,53,2291,일본,일본,(주)박수엔터테인먼트
145,다이버전트 시리즈: 얼리전트,2016-05-12,818897545,0,103556,393,7611,미국,미국,(주)키다리이엔티
146,무서운 이야기 3 : 화성에서 온 소녀,2016-06-01,784148500,0,97804,317,6407,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
147,바스티유 데이,2016-10-13,766892600,0,96579,422,10270,미국,"미국,프랑스",롯데쇼핑㈜롯데엔터테인먼트
148,걷기왕,2016-10-20,710905075,0,95542,462,10476,한국,한국,CGV아트하우스
149,일사각오,2016-03-17,682581500,0,94767,66,2702,한국,한국,파이오니아21
150,나의 산티아고,2016-07-14,721244232,0,94243,88,3431,독일,독일,(주)영화사 진진
151,본 투 비 블루,2016-06-09,764395124,0,93817,147,4842,캐나다,"캐나다,영국,미국",그린나래미디어(주)
152,태풍이 지나가고,2016-07-27,772484972,0,93005,72,3085,일본,일본,(주)티캐스트
153,오베라는 남자,2016-05-25,738121888,0,92380,255,4471,스웨덴,스웨덴,"(주)싸이더스,(주)디스테이션"
154,크리미널,2016-06-22,738985181,0,92358,351,7018,영국,"영국,미국",(주)영화사 빅
155,슈퍼 프렌즈,2016-08-10,663075600,0,89615,255,2483,한국,한국,(주)키다리이엔티
