순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,남산의 부장들,2020-01-22,41225216650,0.081,4750345,1659,140051,한국,한국,(주)쇼박스
2,다만 악에서 구하소서,2020-08-05,38602260990,0.076,4357803,1998,193842,한국,한국,(주)씨제이이엔엠
3,반도,2020-07-15,33072531280,0.065,3812250,2575,199048,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
4,히트맨,2020-01-22,20614278000,0.04,2406232,1122,87782,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
5,테넷,2020-08-26,18396929850,0.036,1992214,2228,164758,미국,미국,워너브러더스 코리아(주)
6,백두산,2019-12-19,16921016530,0.033,1962407,1241,74413,한국,한국,"(주)씨제이이엔엠,(주)덱스터스튜디오"
7,#살아있다,2020-06-24,15968219900,0.031,1903992,1882,137073,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
8,강철비2: 정상회담,2020-07-29,14661646110,0.029,1791533,2137,106658,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
9,담보,2020-09-29,14748867550,0.029,1719521,1342,110260,한국,한국,(주)씨제이이엔엠
10,닥터 두리틀,2020-01-08,13449206760,0.026,1607082,1290,68634,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
11,삼진그룹 영어토익반,2020-10-21,13981414470,0.027,1571286,1615,139275,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
12,정직한 후보,2020-02-12,12854297030,0.025,1538038,1187,89425,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
13,도굴,2020-11-04,13764680410,0.027,1523514,1635,133284,한국,한국,(주)씨제이이엔엠
14,클로젯,2020-02-05,10971962280,0.021,1270835,1197,71453,한국,한국,(주)씨제이이엔엠
15,오케이 마담,2020-08-12,10981600110,0.022,1228968,1288,82969,한국,한국,메가박스중앙(주)플러스엠
16,해치지않아,2020-01-15,10154099090,0.02,1209689,1216,53441,한국,한국,(주)에이스메이커무비웍스
17,천문: 하늘에 묻는다,2019-12-26,8695248070,0.017,1035024,929,43246,한국,한국,롯데컬처웍스(주)롯데엔터테인먼트
18,결백,2020-06-10,7859629340,0.015,894025,1112,74532,한국,한국,"소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,(주)키다리이엔티"
19,1917,2020-02-19,7924722960,0.016,877017,932,91511,미국,미국,(주)스마일이엔티
20,작은 아씨들,2020-02-12,7283877330,0.014,864782,1105,59781,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
21,미드웨이,2019-12-31,7143163010,0.014,824836,842,32902,미국,미국,(주)누리픽쳐스
22,시동,2019-12-18,6876716560,0.013,792493,825,34835,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
23,지푸라기라도 잡고 싶은 짐승들,2020-02-19,5457014750,0.011,628977,996,65645,한국,한국,메가박스중앙(주)플러스엠
24,미스터 주: 사라진 VIP,2020-01-22,5071671660,0.01,603203,692,28187,한국,한국,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스"
25,인비저블맨,2020-02-26,5015895060,0.01,575043,776,63076,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
26,나쁜 녀석들: 포에버,2020-01-15,4880576760,0.01,547775,896,29888,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
27,국제수사,2020-09-29,4496603760,0.009,537470,1074,41108,한국,한국,(주)쇼박스
28,침입자,2020-06-04,4810611000,0.009,532045,1365,53636,한국,한국,(주)에이스메이커무비웍스
29,스타워즈: 라이즈 오브 스카이워커,2020-01-08,4704790210,0.009,507265,957,28695,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
30,스파이 지니어스,2020-01-22,3699691180,0.007,450932,712,22244,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
31,이웃사촌,2020-11-25,3647897960,0.007,424764,1363,65450,한국,한국,"(주)리틀빅픽쳐스,(주)트리니티픽쳐스"
