,순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사,평점
0,1,부산행,2016-07-20,93178283048,0.053,11565479,1788,151315,한국,한국,(주)넥스트엔터테인먼트월드(NEW),8.0
1,2,검사외전,2016-02-03,77320403264,0.044,9707581,1812,153532,한국,한국,(주)쇼박스,7.94
2,3,캡틴 아메리카: 시빌 워,2016-04-27,72672111827,0.042,8677249,1991,161696,미국,미국,월트디즈니컴퍼니코리아(주),8.67
3,4,밀정,2016-09-07,61269783831,0.035,7500420,1444,138161,한국,"한국,미국",워너브러더스 코리아(주),8.44
4,5,터널,2016-08-10,57529484417,0.033,7120508,1105,113201,한국,한국,(주)쇼박스,8.37
5,6,인천상륙작전,2016-07-27,55101410303,0.032,7049643,1049,97019,한국,한국,(주)씨제이이엔엠,8.04
6,7,럭키,2016-10-13,56444461256,0.032,6975290,1234,155977,한국,한국,(주)쇼박스,0.0
7,8,곡성,2016-05-12,55863520382,0.032,6879908,1485,130322,한국,"한국,미국",이십세기폭스코리아(주),7.62
8,9,덕혜옹주,2016-08-03,44393828109,0.025,5599229,964,97312,한국,한국,롯데쇼핑㈜롯데엔터테인먼트,8.35
9,10,닥터 스트레인지,2016-10-26,47481830396,0.027,5446239,1503,162856,미국,미국,월트디즈니컴퍼니코리아(주),8.72
10,11,마스터,2016-12-21,39784641065,0.023,4935320,1501,70786,한국,한국,(주)씨제이이엔엠,8.11
11,12,주토피아,2016-02-17,37096057742,0.021,4706158,735,131005,미국,미국,월트디즈니컴퍼니코리아(주),9.36
12,13,신비한 동물사전,2016-11-16,39300515858,0.023,4662534,1431,115676,미국,"미국,영국",워너브러더스 코리아(주),8.18
13,14,판도라,2016-12-07,33955398164,0.019,4313864,1184,90758,한국,한국,(주)넥스트엔터테인먼트월드(NEW),8.2
14,15,아가씨,2016-06-01,35211229991,0.02,4287839,1171,90365,한국,한국,(주)씨제이이엔엠,7.15
15,16,쿵푸팬더3,2016-01-28,31340798156,0.018,3984812,1365,97404,미국,미국,(주)씨제이이엔엠,8.63
