순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,베테랑,2015-08-05,105168155250,0.061,13414009,1115,199231,한국,한국,(주)씨제이이엔엠
2,암살,2015-07-22,98463132781,0.057,12705700,1519,175185,한국,한국,(주)쇼박스
3,어벤져스: 에이지 오브 울트론,2015-04-23,88582586366,0.052,10494499,1843,191778,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)"
4,국제시장,2014-12-17,69841376134,0.041,8915904,1044,149061,한국,한국,(주)씨제이이엔엠
5,내부자들,2015-11-19,56465665657,0.033,7055332,1129,152265,한국,한국,(주)쇼박스
6,사도,2015-09-16,48842902501,0.028,6246849,1210,124246,한국,한국,(주)쇼박스
7,킹스맨 : 시크릿 에이전트,2015-02-11,50369009795,0.029,6129681,728,139988,미국,"미국,영국",이십세기폭스코리아(주)
8,미션 임파서블: 로그네이션,2015-07-30,48547353607,0.028,6126488,1202,89682,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
9,연평해전,2015-06-24,45563228330,0.027,6043784,1013,114450,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
10,쥬라기 월드,2015-06-11,47800698826,0.028,5546792,1290,118959,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
11,검은 사제들,2015-11-05,42405282092,0.025,5442128,1109,131155,한국,한국,(주)씨제이이엔엠
12,히말라야,2015-12-16,39469775448,0.023,5129409,1095,81042,한국,한국,(주)씨제이이엔엠
13,인사이드 아웃,2015-07-09,38024694936,0.022,4969735,931,84000,미국,미국,월트디즈니컴퍼니코리아(주)
14,마션,2015-10-08,39663145295,0.023,4880800,1132,114183,미국,미국,"월트디즈니컴퍼니코리아 유한책임회사,이십세기폭스코리아(주)"
15,조선명탐정 : 사라진 놉의 딸,2015-02-11,30456879428,0.018,3872015,825,80499,한국,한국,(주)쇼박스
16,매드 맥스: 분노의 도로,2015-05-14,32912842162,0.019,3843343,799,98824,미국,"미국,호주",워너브러더스 코리아(주)
17,인턴,2015-09-24,28517727148,0.017,3610564,659,81552,미국,미국,워너브러더스 코리아(주)
18,분노의 질주: 더 세븐,2015-04-01,26454098694,0.015,3247955,983,93612,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
19,터미네이터 제니시스,2015-07-02,26556715129,0.015,3240370,1113,77590,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
20,스물,2015-03-25,23563421686,0.014,3044811,926,100161,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
21,극비수사,2015-06-18,22389535897,0.013,2860786,894,66211,한국,한국,(주)쇼박스
22,앤트맨,2015-09-03,23529209937,0.014,2841795,949,74649,미국,"미국,영국",월트디즈니컴퍼니코리아(주)
23,스타워즈: 깨어난 포스,2015-12-17,24149478540,0.014,2803234,940,56425,미국,미국,월트디즈니컴퍼니코리아(주)
24,빅 히어로,2015-01-21,21993119765,0.013,2801949,825,62229,미국,미국,월트디즈니컴퍼니코리아(주)
25,메이즈 러너: 스코치 트라이얼,2015-09-16,21596946349,0.013,2744413,804,58725,미국,미국,이십세기폭스코리아(주)
26,탐정 : 더 비기닝,2015-09-24,20463956973,0.012,2625686,764,54995,한국,한국,(주)씨제이이엔엠
27,미니언즈,2015-07-29,18998046278,0.011,2625599,792,41946,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
28,스파이,2015-05-21,18417637358,0.011,2318748,665,62960,미국,미국,이십세기폭스코리아(주)
29,악의 연대기,2015-05-14,17361815332,0.01,2192525,776,64351,한국,한국,(주)씨제이이엔엠
30,강남 1970,2015-01-21,17718699499,0.01,2192276,841,53304,한국,한국,(주)쇼박스
31,뷰티 인사이드,2015-08-20,16148479531,0.009,2053435,648,52618,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
32,오늘의 연애,2015-01-14,14924654487,0.009,1891993,709,47237,한국,한국,(주)씨제이이엔엠
33,테이큰 3,2015-01-01,15088105000,0.009,1860934,616,38060,미국,미국,이십세기폭스코리아(주)
34,007 스펙터,2015-11-11,14301476030,0.008,1820760,1105,51940,영국,"영국,미국",유니버설픽쳐스인터내셔널 코리아(유)
35,이미테이션 게임,2015-02-17,13655929120,0.008,1743963,541,44782,영국,영국,메가박스중앙(주)플러스엠
36,샌 안드레아스,2015-06-03,14435844152,0.008,1716455,847,62016,미국,미국,워너브러더스 코리아(주)
37,쎄시봉,2015-02-05,13571515911,0.008,1715370,829,51744,한국,한국,(주)씨제이이엔엠
38,더 폰,2015-10-22,12309164568,0.007,1593694,794,53599,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
39,위플래쉬,2015-03-12,12656619045,0.007,1589032,574,56028,미국,미국,"워터홀컴퍼니(주),(주)쇼박스"
40,대호,2015-12-16,12104808332,0.007,1584168,892,39599,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
41,마다가스카의 펭귄,2014-12-31,11450482159,0.007,1512340,615,27171,미국,미국,(주)씨제이이엔엠
42,차이나타운,2015-04-29,11990370378,0.007,1472106,551,45137,한국,한국,CGV아트하우스
43,장수상회,2015-04-09,8737364643,0.005,1165780,688,52928,한국,한국,(주)씨제이이엔엠
44,성난 변호사,2015-10-08,8723650039,0.005,1128288,607,36990,한국,한국,(주)씨제이이엔엠
45,간신,2015-05-21,8946842910,0.005,1110246,697,40580,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
46,박물관이 살아있다 : 비밀의 무덤,2015-01-14,8170784606,0.005,1101678,500,30146,미국,"미국,영국",이십세기폭스코리아(주)
47,그놈이다,2015-10-28,8096427152,0.005,1046015,681,38678,한국,한국,CGV아트하우스
48,미쓰 와이프,2015-08-13,7387086869,0.004,988451,437,28864,한국,한국,메가박스중앙(주)플러스엠
49,몬스터 호텔 2,2015-12-24,7029012585,0.004,962770,686,12388,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
50,허삼관,2015-01-14,7408943569,0.004,955679,621,27645,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
51,"님아, 그 강을 건너지 마오",2014-11-27,7510901600,0.004,955433,486,26199,한국,한국,"CGV아트하우스,(주)대명문화공장"
52,살인의뢰,2015-03-12,6986456737,0.004,855980,646,35244,한국,한국,씨네그루(주)다우기술
53,손님,2015-07-09,6385937880,0.004,828025,634,23404,한국,한국,(주)씨제이이엔엠
54,인시디어스 3,2015-07-09,6396650620,0.004,825517,416,20824,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
55,하트 오브 더 씨,2015-12-03,6777420023,0.004,809399,535,29219,미국,미국,워너브러더스 코리아(주)
56,헝거게임: 더 파이널,2015-11-18,6069167163,0.004,806520,661,26973,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
57,기술자들,2014-12-24,6241817635,0.004,786257,481,18808,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
58,신데렐라,2015-03-19,5500502900,0.003,716491,531,27508,미국,미국,월트디즈니컴퍼니코리아(주)
59,픽셀,2015-07-16,5390909947,0.003,681945,557,21307,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
60,열정같은소리하고있네,2015-11-25,4758959902,0.003,654102,566,30459,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
61,특종: 량첸살인기,2015-10-22,4754763118,0.003,616481,776,31783,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
62,서부전선,2015-09-24,4751661400,0.003,609063,509,18935,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
63,채피,2015-03-12,4620380654,0.003,573661,536,24669,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
64,극장판 요괴워치: 탄생의 비밀이다냥!,2015-07-22,3888539100,0.002,550924,509,11765,일본,일본,(주)씨제이이엔엠
65,헬머니,2015-03-05,4120166972,0.002,522929,422,24846,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
66,도라에몽 : 스탠 바이 미,2015-02-12,3684756429,0.002,503968,432,13063,일본,일본,(주)넥스트엔터테인먼트월드(NEW)
67,위험한 상견례 2,2015-04-29,3575384754,0.002,472693,429,18409,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)마인스 엔터테인먼트"
68,명탐정 코난 : 화염의 해바라기,2015-08-05,3296031400,0.002,471205,433,8877,일본,일본,(주)씨제이이엔엠
69,순수의 시대,2015-03-05,3740948828,0.002,469891,546,23623,한국,한국,(주)씨제이이엔엠
70,오피스,2015-09-03,3460460230,0.002,441208,425,18575,한국,한국,(주)리틀빅픽쳐스
71,"협녀, 칼의 기억",2015-08-13,3360045489,0.002,431310,572,16099,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
72,어린왕자,2015-12-23,3195586794,0.002,428855,494,8384,프랑스,프랑스,씨네그루(주)다우기술
73,무뢰한,2015-05-27,3262207431,0.002,414641,482,23660,한국,한국,CGV아트하우스
74,판타스틱 4,2015-08-20,3029310600,0.002,399667,451,16241,미국,미국,이십세기폭스코리아(주)
75,뽀로로 극장판 컴퓨터 왕국 대모험,2015-12-10,2902090600,0.002,391760,544,10893,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
76,내 심장을 쏴라,2015-01-28,2856859132,0.002,387409,452,20042,한국,한국,"(주)리틀빅픽쳐스,(주)이수C&E"
77,소수의견,2015-06-24,2892681205,0.002,383582,398,16273,한국,한국,(주)시네마서비스
78,그레이의 50가지 그림자,2015-02-26,2918598796,0.002,364415,512,19227,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
79,홈,2015-05-21,2693335391,0.002,360742,532,10484,미국,미국,(주)씨제이이엔엠
80,경성학교: 사라진 소녀들,2015-06-18,2749609100,0.002,356415,489,18520,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
81,치외법권,2015-08-27,2664941005,0.002,346483,446,15297,한국,한국,판씨네마(주)
82,아메리칸 스나이퍼,2015-01-14,2800001438,0.002,344766,308,10769,미국,미국,워너브러더스 코리아(주)
83,에베레스트,2015-09-24,3055119748,0.002,332180,331,9343,미국,"미국,영국",유니버설픽쳐스인터내셔널 코리아(유)
84,호빗: 다섯 군대 전투,2014-12-17,2840004341,0.002,326887,350,7347,미국,"미국,뉴질랜드",워너브러더스 코리아(주)
85,스폰지밥 3D,2015-02-18,2458946200,0.001,325016,357,8415,미국,미국,(주)씨제이이엔엠
86,극적인 하룻밤,2015-12-03,2610567429,0.002,320884,434,18332,한국,한국,CGV아트하우스
87,뮨: 달의 요정,2015-09-24,2333203700,0.001,319384,365,6895,프랑스,프랑스,"(주)스마일이엔티,씨네그루(주)다우기술"
88,도리화가,2015-11-25,2246950339,0.001,317505,563,19168,한국,한국,(주)씨제이이엔엠
89,이터널 선샤인,2005-11-10,2581017592,0.002,315447,108,8891,미국,미국,"(주)노바미디어,코리아픽쳐스(주)"
90,주피터 어센딩,2015-02-05,2687549879,0.002,309842,561,16454,미국,미국,워너브러더스 코리아(주)
91,패딩턴,2015-01-07,2246438729,0.001,305102,408,9738,영국,"영국,프랑스,캐나다",롯데쇼핑㈜롯데엔터테인먼트
92,오즈의 마법사: 돌아온 도로시,2015-02-12,2176416000,0.001,298482,330,7787,미국,미국,(주)박수엔터테인먼트
93,런 올 나이트,2015-03-19,2293671495,0.001,289534,411,15865,미국,미국,워너브러더스 코리아(주)
94,다이노 타임,2015-04-30,2108596800,0.001,284900,430,6713,한국,"한국,미국",(주)씨제이이엔엠
95,인서전트,2015-03-25,2158449889,0.001,282662,480,18214,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
96,백 투 더 비기닝,2015-02-26,2018287400,0.001,266610,423,13839,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
97,투모로우랜드,2015-05-27,2083283000,0.001,265810,435,14640,미국,미국,월트디즈니컴퍼니코리아(주)
98,스파이 브릿지,2015-11-05,2049608478,0.001,264872,425,12434,미국,미국,이십세기폭스코리아(주)
99,개를 훔치는 완벽한 방법,2014-12-31,2019629065,0.001,263300,199,8008,한국,한국,"(주)리틀빅픽쳐스,(주)대명문화공장"
100,함정,2015-09-10,2090877200,0.001,257990,445,10899,한국,한국,(주)인벤트스톤
101,명탐정 코난 : 코난 실종사건 - 사상 최악의 이틀,2015-02-12,1885543600,0.001,257381,187,5300,일본,일본,(주)씨제이이엔엠
102,언브로큰,2015-01-07,1997947292,0.001,256475,401,10780,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
