순위,영화명,개봉일,매출액,매출액 점유율,관객수,스크린수,상영횟수,대표국적,국적,배급사
1,택시운전사,2017-08-02,95853645649,0.055,12186327,1906,184075,한국,한국,(주)쇼박스
2,신과함께-죄와 벌,2017-12-20,68350496432,0.039,8539495,1912,91301,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
3,공조,2017-01-18,63783051326,0.036,7817618,1392,142989,한국,한국,(주)씨제이이엔엠
4,스파이더맨: 홈 커밍,2017-07-05,59125813820,0.034,7258678,1965,164448,미국,미국,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점
5,범죄도시,2017-10-03,56318014149,0.032,6879841,1315,149334,한국,한국,"메가박스중앙(주)플러스엠,(주)키위미디어그룹"
6,군함도,2017-07-26,50510565168,0.029,6592151,2027,108775,한국,한국,(주)씨제이이엔엠
7,청년경찰,2017-08-09,44381150516,0.025,5653270,1102,118544,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
8,더 킹,2017-01-18,43488814535,0.025,5317693,1310,107983,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
9,미녀와 야수,2017-03-16,42133751579,0.024,5138328,1627,140561,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
10,킹스맨: 골든 서클,2017-09-27,40987484736,0.023,4945484,1687,95922,미국,"미국,영국",이십세기폭스코리아(주)
11,토르: 라그나로크,2017-10-25,39227691395,0.022,4853778,1640,137423,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
12,꾼,2017-11-22,31312029795,0.018,4018035,1314,117398,한국,한국,(주)쇼박스
13,강철비,2017-12-14,31994897566,0.018,4014293,1426,66760,한국,한국,(주)넥스트엔터테인먼트월드(NEW)
14,남한산성,2017-10-03,31225083792,0.018,3849087,1229,71101,한국,한국,(주)씨제이이엔엠
15,미이라,2017-06-06,30504689978,0.017,3689325,1257,105228,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
16,분노의 질주: 더 익스트림,2017-04-12,29981156348,0.017,3653238,1469,113241,미국,"미국,일본,프랑스,캐나다",유니버설픽쳐스인터내셔널 코리아(유)
17,너의 이름은.,2017-01-04,29251793156,0.017,3637608,947,82978,일본,일본,메가박스중앙(주)플러스엠
18,슈퍼배드 3,2017-07-26,24217091019,0.014,3324874,1057,59388,미국,미국,유니버설픽쳐스인터내셔널 코리아(유)
19,아이 캔 스피크,2017-09-21,25526451186,0.015,3279296,1140,93012,한국,한국,"롯데쇼핑㈜롯데엔터테인먼트,(주)리틀빅픽쳐스"
20,캐리비안의 해적: 죽은 자는 말이 없다,2017-05-24,24975495122,0.014,3049894,1357,85225,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
21,프리즌,2017-03-23,23790276987,0.014,2931897,1047,89024,한국,한국,(주)쇼박스
22,덩케르크,2017-07-20,24550541348,0.014,2788732,1252,65906,미국,"미국,영국",워너브러더스 코리아(주)
23,가디언즈 오브 갤럭시 VOL. 2,2017-05-03,23452686686,0.013,2735721,1218,63789,미국,미국,월트디즈니컴퍼니코리아 유한책임회사
24,살인자의 기억법,2017-09-06,21375287492,0.012,2658589,1064,88686,한국,한국,(주)쇼박스
25,트랜스포머: 최후의 기사,2017-06-21,21501959228,0.012,2614601,1739,87234,미국,미국,롯데쇼핑㈜롯데엔터테인먼트
26,보안관,2017-05-03,20844488409,0.012,2588628,1091,63709,한국,한국,롯데쇼핑㈜롯데엔터테인먼트
27,조작된 도시,2017-02-09,20143992587,0.011,2515501,1019,62241,한국,한국,(주)씨제이이엔엠
28,보스 베이비,2017-05-03,18936306704,0.011,2452245,1116,48379,미국,미국,(주)씨제이이엔엠
29,재심,2017-02-15,19266319637,0.011,2421197,935,68402,한국,한국,"오퍼스픽쳐스(유),CGV아트하우스"
30,박열,2017-06-28,18093639795,0.01,2359206,1176,78499,한국,한국,메가박스중앙(주)플러스엠
